,participant_id,I can never spend enough time on my mobile phone.,I have used my mobile phone to make myself feel better when I was feeling down.,"I find myself occupied on my mobile phone when I should be doing other things, and it causes problems.",All my friends own a mobile phone.,I have tried to hide from others how much time I spend on my mobile phone.,I lose sleep due to the time I spend on my mobile phone.,I have received mobile phone bills I could not afford to pay.,"When out of range for some time, I become preoccupied with the thought of missing a call.","Sometimes, when I am on the mobile phone and I am doing other things, I get carried away with the conversation and I don’t pay attention to what I am doing.",The time I spend on the mobile phone has increased over the last 12 months.,I have used my mobile phone to talk to others when I was feeling isolated.,I have attempted to spend less time on my mobile phone but am unable to.,I find it difficult to switch off my mobile phone.,I feel anxious if I have not checked for messages or switched on my mobile phone for some time.,I have frequent dreams about the mobile phone.,My friends and family complain about my use of the mobile phone.,"If I don't have a mobile phone, my friends would find it hard to get in touch with me. ",My productivity has decreased as a direct result of the time I spend on the mobile phone.,I have aches and pains that are associated with my mobile phone use.,I find myself engaged on the mobile phone for longer periods of time than intended.,There are times when I would rather use the mobile phone than deal with other more pressing issues.,I am often late for appointments because I'm engaged on the mobile phone when I shouldn't be.,"I become irritable if I have to switch off my mobile phone for meetings, dinner engagements, or at the movies.",I have been told that I spend too much time on my mobile phone.,"More than once I have been in trouble because my mobile phone has gone off during a meeting, lecture, or in a theatre.",My friends don't like it when my mobile phone is switched off.,I feel lost without my mobile phone.,Missing planned work due to smartphone use.,"Having a hard time concentrating in class, while doing assignments, or while working due to smartphone use.",Experiencing lightheadedness or blurred vision due to excessive smartphone use.,Feeling pain in the wrists or at the back of the neck while using a smartphone.,Feeling tired and lacking adequate sleep due to excessive smartphone use.,Feeling calm or cozy while using a smartphone.,Feeling pleasant or excited while using a smartphone.,Feeling confident while using a smartphone.,Being able to get rid of stress with a smartphone.,There is nothing more fun to do than using my smartphone.,My life would be empty without my smartphone. ,Feeling most liberal while using a smartphone.,Using a smartphone is the most fun thing to do. ,Won’t be able to stand not having a smartphone.,Feeling impatient and fretful when I am not holding my smartphone.,Having my smartphone in my mind even when I am not using it.,"I will never give up using my smartphone even when my daily life is already greatly affected
by it.",Getting irritated when bothered while using my smartphone.,Bringing my smartphone to the toilet even when I am in a hurry to get there.,Feeling great meeting more people via smartphone use.,"Feeling that my relationships with my smartphone buddies are more intimate than my
relationships with my real-life friends.",Not being able to use my smartphone would be as painful as losing a friend.,Feeling that my smartphone buddies understand me better than my real-life friends.,"Constantly checking my smartphone so as not to miss conversations between other people
on Twitter or Facebook.",Checking SNS (Social Networking Service) sites like Twitter or Facebook right after waking up.,"Preferring talking with my smartphone buddies to hanging out with my real-life friends or
with the other members of my family.",Preferring searching from my smartphone to asking other people.,My fully charged battery does not last for one whole day.,Using my smartphone longer than I had intended.,Feeling the urge to use my smartphone again right after I stopped using it.,"Having tried time and again to shorten my smartphone use time, but failing all the time.",Always thinking that I should shorten my smartphone use time.,The people around me tell me that I use my smartphone too much.,How much do you agree with the statement: I am addicted to my smartphone?,My phone is on [Silent / DND],My phone is on [Vibrate only],My phone is on [Loud],Do you receive notifications on some other device instead (like a smartwatch)?,What emotions are typically associated with receiving smartphone notifications?,How did you feel about the notifications during the first half of the experiment?,How did you feel about the notifications during the 2nd half of the experiment?,MPPUS,SAS
0,sub002,3,7,2,10,2,2,1,1,2,2,1,2,2,1,1,2,4,2,1,2,1,1,1,2,2,2,1,1,1,2,1,2,1,2,5,1,1,1,1.0,1,2,1,1,1,1,1,1,1,1,1,2,1,1,5.0,2.0,2,2,1,2,1,Disagree,,,,,,,,60.0,50.0
1,sub003,8,9,9,10,9,9,5,4,6,9,3,8,7,7,2,5,3,9,5,9,10,5,4,7,4,3,7,5,4,4,3,5,5,4,4,4,3,4,5.0,4,3,3,3,4,4,5,4,2,3,2,4,5,2,4.0,5.0,5,5,5,5,3,Strongly agree,,,,,,,,176.0,130.0
2,sub004,5,10,7,10,1,6,1,1,3,2,2,2,10,7,1,7,9,2,2,6,7,1,3,7,1,1,10,1,4,4,4,2,5,5,5,4,1,6,6.0,1,6,3,2,4,1,5,2,3,1,2,4,1,2,6.0,3.0,2,4,2,2,4,Neutral,,,,,,,,124.0,107.0
3,sub005,2,10,7,10,4,9,1,2,4,10,10,4,3,2,4,3,3,7,3,7,8,3,2,3,8,7,4,6,6,3,5,4,5,5,5,5,2,1,,3,1,1,2,2,2,5,2,2,2,2,2,2,2,5.0,2.0,5,2,6,5,2,Disagree,,,,,,,,140.0,104.0
4,sub006,8,7,7,10,4,8,1,4,3,5,8,3,3,3,1,2,6,4,1,7,1,1,1,2,1,4,2,1,1,3,2,3,3,4,3,2,1,2,2.0,1,1,1,1,1,2,1,2,1,1,1,1,3,1,3.0,1.0,3,2,1,3,2,Agree,,,,,,,,107.0,60.0
5,sub007,3,10,7,10,1,7,2,3,7,6,3,10,10,4,1,6,10,10,8,9,10,5,1,2,8,10,4,4,4,4,5,5,2,2,5,5,5,5,5.0,2,5,3,5,5,4,6,1,1,3,1,2,1,1,6.0,3.0,5,5,6,6,2,Agree,,,,,,,,167.0,124.0
6,sub008,7,6,7,10,4,8,2,3,8,8,8,5,3,3,1,7,8,4,5,7,5,3,2,7,2,5,3,3,4,5,4,5,2,2,4,2,1,2,2.0,1,2,3,2,2,2,1,4,2,1,2,1,1,2,2.0,3.0,5,2,4,5,2,Agree,Never,Often,Sometimes,Yes,,,,141.0,85.0
7,sub009,3,3,1,10,2,2,2,3,3,2,5,3,5,2,1,1,1,3,2,2,4,1,2,1,2,10,2,2,2,2,2,1,3,1,3,2,2,1,2.0,2,1,2,2,2,2,2,3,2,2,2,2,3,2,2.0,2.0,2,2,2,3,2,Strongly disagree,Often,Sometimes,Sometimes,No,,,,78.0,67.0
8,sub010,3,8,3,10,2,1,1,2,7,5,7,2,3,2,2,1,1,1,1,6,1,2,1,1,7,2,3,1,1,1,1,1,4,3,4,4,1,1,2.0,2,1,1,1,1,2,1,5,1,1,1,1,1,1,5.0,4.0,2,1,1,1,1,Strongly disagree,Often,Never,Sometimes,No,,,,85.0,59.0
9,sd011,3,5,10,10,8,8,2,8,9,3,10,9,2,3,1,8,10,10,4,5,5,3,3,7,5,2,4,3,6,2,4,3,3,4,2,2,1,1,3.0,1,1,2,1,1,4,1,5,1,1,1,2,2,1,1.0,6.0,5,5,6,6,4,Agree,Sometimes,Often,Sometimes,Yes,,,,157.0,91.0
10,sub011,8,10,5,10,9,5,5,5,7,1,10,10,10,5,1,1,10,7,1,5,1,1,1,1,1,5,4,5,2,3,1,3,4,5,6,6,1,3,4.0,1,1,2,1,3,1,1,6,1,1,1,1,3,1,3.0,3.0,4,3,6,3,1,Neutral,Sometimes,Sometimes,Often,No,,,,139.0,90.0
11,sd012,4,7,6,10,6,7,1,1,4,7,7,6,2,3,1,3,6,6,7,6,3,1,1,2,1,1,1,1,4,1,3,3,1,4,1,4,2,1,2.0,1,1,1,1,1,1,4,3,1,1,1,3,4,1,5.0,4.0,4,4,4,2,2,Agree,Sometimes,Sometimes,Often,No,Neutral,4.0,2.0,110.0,76.0
