erp,kind,subject,iteration,PL,PA,TWMA,FAL_0.25,FAL_0.5,FAL_0.75
n1,sn,sd011,0,0.21875,-3.4544054310329897,-1.1770178240499158,0.2109375,0.21875,0.228515625
n1,sn,sd011,1,0.21875,-3.571445371824843,-1.4465418609480272,0.208984375,0.21875,0.228515625
n1,sn,sd011,2,0.21875,-3.822478155688435,-1.2822602371254745,0.2109375,0.220703125,0.23046875
n1,sn,sd011,3,0.216796875,-3.3476400701550366,-1.4147744350512146,0.208984375,0.21875,0.23046875
n1,sn,sd011,4,0.21875,-3.5894011070448277,-1.3756770967127396,0.208984375,0.21875,0.228515625
n1,sn,sd011,5,0.220703125,-4.827811088373816,-1.467581121832695,0.2109375,0.220703125,0.23046875
n1,sn,sd011,6,0.21875,-4.381937624183575,-1.644560501168033,0.2109375,0.21875,0.23046875
n1,sn,sd011,7,0.216796875,-3.8166079107331092,-1.4742010640498573,0.208984375,0.21875,0.23046875
n1,sn,sd011,8,0.220703125,-3.8976668345969294,-1.3563223703257306,0.208984375,0.21875,0.228515625
n1,sn,sd011,9,0.21875,-4.074713992022087,-1.4555914887569767,0.2109375,0.220703125,0.23046875
n1,sn,sd011,10,0.21875,-3.564009085239747,-1.2474540368701608,0.2109375,0.220703125,0.23046875
n1,sn,sd011,11,0.216796875,-3.89508918431687,-1.3733533447721056,0.208984375,0.21875,0.228515625
n1,sn,sd011,12,0.220703125,-4.244946956196072,-1.42120070280781,0.2109375,0.220703125,0.232421875
n1,sn,sd011,13,0.220703125,-3.7994959338019028,-1.5855339917133477,0.2109375,0.21875,0.23046875
n1,sn,sd011,14,0.220703125,-4.120475332029813,-1.4067324931576175,0.2109375,0.220703125,0.23046875
n1,sn,sd011,15,0.220703125,-3.467613329274496,-1.200810032990668,0.212890625,0.220703125,0.232421875
n1,sn,sd011,16,0.21875,-3.470850372244913,-1.4427310228384185,0.208984375,0.220703125,0.23046875
n1,sn,sd011,17,0.21875,-3.5741891305247178,-1.269269097261702,0.2109375,0.21875,0.228515625
n1,sn,sd011,18,0.21875,-4.21463339847571,-1.1391833871488917,0.208984375,0.21875,0.2265625
n1,sn,sd011,19,0.21484375,-3.681129406585926,-1.3736067761472752,0.208984375,0.21875,0.23046875
n1,sn,sd011,20,0.21875,-4.071711551588901,-1.3199087395204114,0.208984375,0.21875,0.228515625
n1,sn,sd011,21,0.21875,-3.659901491408802,-1.3294919166825874,0.208984375,0.21875,0.228515625
n1,sn,sd011,22,0.216796875,-3.176124783304021,-1.462254758953067,0.2109375,0.21875,0.232421875
n1,sn,sd011,23,0.216796875,-3.504777349623931,-1.451584080153285,0.2109375,0.220703125,0.232421875
n1,sn,sd011,24,0.21875,-3.7523539683199614,-1.4176040777869663,0.208984375,0.21875,0.23046875
n1,sn,sd011,25,0.21875,-3.8076275916481666,-1.3791634622807587,0.208984375,0.216796875,0.2265625
n1,sn,sd011,26,0.216796875,-3.688191361861274,-1.1541555851861365,0.208984375,0.21875,0.228515625
n1,sn,sd011,27,0.216796875,-3.6033877699078465,-1.224773846846438,0.208984375,0.216796875,0.228515625
n1,sn,sd011,28,0.21875,-3.7445446662514983,-1.3337746312364733,0.208984375,0.21875,0.23046875
n1,sn,sd011,29,0.21875,-4.027172734999016,-1.2595053800888762,0.2109375,0.21875,0.228515625
