trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Start.started,welcome.started,Start.stopped,vedio_withaudio_B1.started,movie.started,sound_1.started,sound_1.stopped,vedio_withaudio_B1.stopped,movie.stopped,Block2.started,text.started,key_resp.started,Block2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_again.started,text_3.started,text_3.stopped,start_again.stopped,Vedio_audio_B2.started,movie_2.started,sound_2.started,sound_2.stopped,Vedio_audio_B2.stopped,movie_2.stopped,thank_you.started,text_2.started,text_2.stopped,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,,,,,1.0507503999397159,,0.003231300041079521,0.018212399911135435,1.0123468996025622,1.0198162999004126,1.0507503999397159,1.412195579847321,1.935517099685967,2.2961045997217298,,,,,,,,,,,,,,,,,,,,,,,sub002_saurabh,001,2024-05-14_12h40.04.723,final_exp_1.2_v1_18012024,2023.2.3,60.01893001684973,2024-05-14 12h40.26.212928 +0530,
1,0,1,0,,,,,2.328185699880123,,,,,2.297804099973291,2.328185699880123,2.662528879707679,3.185276299715042,3.5794417997822165,,,,,,,,,,,,,,,,,,,,,,,sub002_saurabh,001,2024-05-14_12h40.04.723,final_exp_1.2_v1_18012024,2023.2.3,60.01893001684973,2024-05-14 12h40.26.212928 +0530,
2,0,2,0,,,,,3.6082078996114433,,,,,3.5811629998497665,3.6082078996114433,3.878987279953435,4.484158199746162,4.862615299876779,,,,,,,,,,,,,,,,,,,,,,,sub002_saurabh,001,2024-05-14_12h40.04.723,final_exp_1.2_v1_18012024,2023.2.3,60.01893001684973,2024-05-14 12h40.26.212928 +0530,
3,0,3,0,,,,,4.88813509978354,,,,,4.864381599705666,4.88813509978354,5.24562377971597,5.8151795999147,6.14642439968884,,,,,,,,,,,,,,,,,,,,,,,sub002_saurabh,001,2024-05-14_12h40.04.723,final_exp_1.2_v1_18012024,2023.2.3,60.01893001684973,2024-05-14 12h40.26.212928 +0530,
4,0,4,0,,,,,6.168133900035173,,,,,6.1481677000410855,6.168133900035173,6.52939747995697,7.1249492997303605,7.429588099941611,,,,,,,,,,,,,,,,,,,,,,,sub002_saurabh,001,2024-05-14_12h40.04.723,final_exp_1.2_v1_18012024,2023.2.3,60.01893001684973,2024-05-14 12h40.26.212928 +0530,
5,0,5,0,,,,,7.449314599856734,,,,,7.431873799767345,7.449314599856734,7.7956301800441,8.324908099602908,8.712676799856126,,,,,,,,,,,,,,,,,,,,,,,sub002_saurabh,001,2024-05-14_12h40.04.723,final_exp_1.2_v1_18012024,2023.2.3,60.01893001684973,2024-05-14 12h40.26.212928 +0530,
6,0,6,0,,,,,8.728385499678552,,,,,8.714348800014704,8.728385499678552,9.012357979780063,9.604874399956316,9.996561300009489,,,,,,,,,,,,,,,,,,,,,,,sub002_saurabh,001,2024-05-14_12h40.04.723,final_exp_1.2_v1_18012024,2023.2.3,60.01893001684973,2024-05-14 12h40.26.212928 +0530,
7,0,7,0,,,,,10.012933999765664,,,,,9.998329499736428,10.012933999765664,10.329017780022696,10.904768199659884,11.27941960003227,,,,,,,,,,,,,,,,,,,,,,,sub002_saurabh,001,2024-05-14_12h40.04.723,final_exp_1.2_v1_18012024,2023.2.3,60.01893001684973,2024-05-14 12h40.26.212928 +0530,
8,0,8,0,,,,,11.295755199622363,,,,,11.281169899739325,11.295755199622363,11.62898007989861,12.15483529958874,12.56286279996857,,,,,,,,,,,,,,,,,,,,,,,sub002_saurabh,001,2024-05-14_12h40.04.723,final_exp_1.2_v1_18012024,2023.2.3,60.01893001684973,2024-05-14 12h40.26.212928 +0530,
9,0,9,0,,,,,12.608765099663287,,,,,12.564528599847108,12.608765099663287,12.945692779729143,,13.846196299884468,,,,,,,,,,,,,,,,,,,,,,,sub002_saurabh,001,2024-05-14_12h40.04.723,final_exp_1.2_v1_18012024,2023.2.3,60.01893001684973,2024-05-14 12h40.26.212928 +0530,
10,0,10,0,,,,,13.888840099796653,,,,,13.847957599908113,13.888840099796653,14.178925479995087,14.735479699913412,15.12951899971813,,,,,,,,,,,,,,,,,,,,,,,sub002_saurabh,001,2024-05-14_12h40.04.723,final_exp_1.2_v1_18012024,2023.2.3,60.01893001684973,2024-05-14 12h40.26.212928 +0530,
11,0,11,0,,,,,15.168018899857998,,,,,15.131274099927396,15.168018899857998,15.462828679708764,16.055586899630725,16.412821699865162,,,,,,,,,,,,,,,,,,,,,,,sub002_saurabh,001,2024-05-14_12h40.04.723,final_exp_1.2_v1_18012024,2023.2.3,60.01893001684973,2024-05-14 12h40.26.212928 +0530,
