LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1715670601.745997,1977126.000,61196,2,AK,1,100,60456
1715670601.745997,1977126.000,61196,2,AK,1,100,RD
1715670601.764866,1977144.000,61199,2,AK,1,100,61197
1715670601.783736,1977162.000,61199,2,AK,1,100,RD
1715670604.468385,1979723.000,62029,2,AK,1,100,61197
1715670607.153035,1982284.000,62029,2,AK,1,100,RD
1715670682.581105,2054238.000,19941,2,AK,1,100,19098
1715670758.009176,2126192.000,19941,2,AK,1,100,RD
1715670758.023852,2126206.000,19944,2,AK,1,100,19942
1715670758.038528,2126220.000,19944,2,AK,1,100,RD
1715670760.703260,2128762.000,20803,2,AK,1,100,19942
1715670763.367993,2131304.000,20803,2,AK,1,100,RD
1715670763.382144,2131317.500,20806,2,AK,1,100,20804
1715670763.396296,2131331.000,20806,2,AK,1,100,RD
1715670766.093001,2133903.500,21671,2,AK,1,100,20804
1715670768.789706,2136476.000,21671,2,AK,1,100,RD
1715670768.804382,2136490.000,21674,2,AK,1,100,21672
1715670768.819058,2136504.000,21674,2,AK,1,100,RD
1715670771.486411,2139048.500,22533,2,AK,1,100,21672
1715670774.153764,2141593.000,22533,2,AK,1,100,RD
1715670774.182068,2141620.000,22536,2,AK,1,100,22534
1715670774.210371,2141647.000,22536,2,AK,1,100,RD
1715670776.858331,2144173.000,23366,2,AK,1,100,22534
1715670779.506291,2146699.000,23366,2,AK,1,100,RD
1715670779.529354,2146721.000,23369,2,AK,1,100,23367
1715670779.552416,2146743.000,23369,2,AK,1,100,RD
1715670782.219245,2149287.000,24231,2,AK,1,100,23367
1715670784.886074,2151831.000,24231,2,AK,1,100,RD
1715670784.931150,2151874.000,24234,2,AK,1,100,24232
1715670784.976226,2151917.000,24234,2,AK,1,100,RD
1715670787.605317,2154425.000,25075,2,AK,1,100,24232
1715670790.234408,2156933.000,25075,2,AK,1,100,RD
1715670790.265856,2156963.000,25078,2,AK,1,100,25076
1715670790.297304,2156993.000,25078,2,AK,1,100,RD
1715670792.945264,2159519.000,25923,2,AK,1,100,25076
1715670795.593224,2162045.000,25923,2,AK,1,100,RD
1715670795.609997,2162061.000,25926,2,AK,1,100,25924
1715670795.626769,2162077.000,25926,2,AK,1,100,RD
1715670798.299364,2164626.500,26787,2,AK,1,100,25924
1715670800.971958,2167176.000,26787,2,AK,1,100,RD
1715670801.012317,2167214.500,26790,2,AK,1,100,26788
1715670801.052676,2167253.000,26790,2,AK,1,100,RD
1715670803.684387,2169763.500,27630,2,AK,1,100,26788
1715670806.316099,2172274.000,27630,2,AK,1,100,RD
1715670806.330251,2172287.500,27633,2,AK,1,100,27631
1715670806.344403,2172301.000,27633,2,AK,1,100,RD
1715670809.042680,2174875.000,28475,2,AK,1,100,27631
1715670811.740957,2177449.000,28475,2,AK,1,100,RD
1715670811.772406,2177479.000,28478,2,AK,1,100,28476
1715670811.803854,2177509.000,28478,2,AK,1,100,RD
1715670814.468587,2180051.000,29340,2,AK,1,100,28476
1715670817.133319,2182593.000,29340,2,AK,1,100,RD
1715670817.147471,2182606.500,29343,2,AK,1,100,29341
1715670817.161623,2182620.000,29343,2,AK,1,100,RD
1715670819.836838,2185172.000,30202,2,AK,1,100,29341
1715670822.512053,2187724.000,30202,2,AK,1,100,RD
1715670822.531446,2187742.500,30205,2,AK,1,100,30203
1715670822.550840,2187761.000,30205,2,AK,1,100,RD
1715670825.209807,2190297.500,31066,2,AK,1,100,30203
1715670827.868773,2192834.000,31066,2,AK,1,100,RD
1715670827.882925,2192847.500,31069,2,AK,1,100,31067
1715670827.897077,2192861.000,31069,2,AK,1,100,RD
1715670830.574913,2195415.500,31928,2,AK,1,100,31067
1715670833.252749,2197970.000,31928,2,AK,1,100,RD
1715670833.287342,2198003.000,31931,2,AK,1,100,31929
1715670833.321935,2198036.000,31931,2,AK,1,100,RD
1715670835.998199,2200589.000,32781,2,AK,1,100,31929
1715670838.674463,2203142.000,32781,2,AK,1,100,RD
1715670838.695952,2203162.500,32784,2,AK,1,100,32782
1715670838.717442,2203183.000,32784,2,AK,1,100,RD
1715670841.373788,2205717.000,33613,2,AK,1,100,32782
1715670844.030134,2208251.000,33613,2,AK,1,100,RD
1715670844.043762,2208264.000,33616,2,AK,1,100,33614
1715670844.057390,2208277.000,33616,2,AK,1,100,RD
1715670846.734177,2210830.500,34459,2,AK,1,100,33614
1715670849.410965,2213384.000,34459,2,AK,1,100,RD
1715670849.424592,2213397.000,34462,2,AK,1,100,34460
1715670849.438220,2213410.000,34462,2,AK,1,100,RD
1715670852.134925,2215982.500,35310,2,AK,1,100,34460
1715670854.831630,2218555.000,35310,2,AK,1,100,RD
1715670857.519949,2221119.500,36156,2,AK,1,100,35311
1715670860.208268,2223684.000,36156,2,AK,1,100,RD
1715670860.217702,2223693.000,36158,2,AK,1,100,35311
1715670860.227137,2223702.000,36158,2,AK,1,100,RD
1715670860.273261,2223746.000,36161,2,AK,1,100,36159
1715670860.319386,2223790.000,36161,2,AK,1,100,RD
1715670862.963152,2226312.000,37007,2,AK,1,100,36159
1715670865.606919,2228834.000,37007,2,AK,1,100,RD
1715670865.620023,2228846.500,37010,2,AK,1,100,37008
1715670865.633126,2228859.000,37010,2,AK,1,100,RD
1715670868.330355,2231432.000,37841,2,AK,1,100,37008
1715670871.027585,2234005.000,37841,2,AK,1,100,RD
1715670871.041212,2234018.000,37844,2,AK,1,100,37842
1715670871.054840,2234031.000,37844,2,AK,1,100,RD
1715670873.739490,2236592.000,38690,2,AK,1,100,37842
1715670876.424139,2239153.000,38690,2,AK,1,100,RD
1715670876.438291,2239166.500,38693,2,AK,1,100,38691
1715670876.452443,2239180.000,38693,2,AK,1,100,RD
1715670879.141810,2241745.500,39539,2,AK,1,100,38691
1715670881.831177,2244311.000,39539,2,AK,1,100,RD
1715670881.850046,2244329.000,39542,2,AK,1,100,39540
1715670881.868915,2244347.000,39542,2,AK,1,100,RD
1715670884.527358,2246883.000,40384,2,AK,1,100,39540
1715670887.185801,2249419.000,40384,2,AK,1,100,RD
1715670887.221966,2249453.500,40387,2,AK,1,100,40385
1715670887.258132,2249488.000,40387,2,AK,1,100,RD
1715670889.922864,2252030.000,41234,2,AK,1,100,40385
1715670892.587597,2254572.000,41234,2,AK,1,100,RD
