LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1715670597.202744,1972792.000,60501,8,AY,1,100,0.084
1715670597.202744,1972792.000,60501,8,AY,1,100,0.087
1715670597.202744,1972792.000,60501,8,AY,1,100,0.086
1715670597.202744,1972792.000,60501,8,AY,1,100,0.086
1715670597.202744,1972792.000,60501,8,AY,1,100,0.082
1715670597.202744,1972792.000,60501,8,AY,1,100,0.083
1715670597.202744,1972792.000,60501,8,AY,1,100,0.087
1715670597.202744,1972792.000,60501,8,AY,1,100,0.085
1715670597.215585,1972804.250,60519,8,AY,1,100,0.088
1715670597.228427,1972816.500,60519,8,AY,1,100,0.083
1715670597.241268,1972828.750,60519,8,AY,1,100,0.086
1715670597.254110,1972841.000,60519,8,AY,1,100,0.086
1715670597.266951,1972853.250,60519,8,AY,1,100,0.078
1715670597.279793,1972865.500,60519,8,AY,1,100,0.087
1715670597.292634,1972877.750,60519,8,AY,1,100,0.086
1715670597.305475,1972890.000,60519,8,AY,1,100,0.084
1715670597.330484,1972913.857,60534,7,AY,1,100,0.085
1715670597.355494,1972937.714,60534,7,AY,1,100,0.083
1715670597.380502,1972961.571,60534,7,AY,1,100,0.082
1715670597.405512,1972985.429,60534,7,AY,1,100,0.086
1715670597.430521,1973009.286,60534,7,AY,1,100,0.084
1715670597.455529,1973033.143,60534,7,AY,1,100,0.082
1715670597.480539,1973057.000,60534,7,AY,1,100,0.085
1715670597.519674,1973094.333,60550,3,AY,1,100,0.084
1715670597.558810,1973131.667,60550,3,AY,1,100,0.083
1715670597.597946,1973169.000,60550,3,AY,1,100,0.083
1715670597.637431,1973206.667,60569,3,AY,1,100,0.083
1715670597.676917,1973244.333,60569,3,AY,1,100,0.085
1715670597.716402,1973282.000,60569,3,AY,1,100,0.083
1715670597.756237,1973320.000,60586,2,AY,1,100,0.086
1715670597.796071,1973358.000,60586,2,AY,1,100,0.085
1715670597.836256,1973396.333,60602,3,AY,1,100,0.082
1715670597.876440,1973434.667,60602,3,AY,1,100,0.084
1715670597.916624,1973473.000,60602,3,AY,1,100,0.085
1715670597.957157,1973511.667,60619,3,AY,1,100,0.085
1715670597.997691,1973550.333,60619,3,AY,1,100,0.083
1715670598.038224,1973589.000,60619,3,AY,1,100,0.085
1715670598.078583,1973627.500,60634,2,AY,1,100,0.089
1715670598.118942,1973666.000,60634,2,AY,1,100,0.083
1715670598.158777,1973704.000,60651,3,AY,1,100,0.086
1715670598.198611,1973742.000,60651,3,AY,1,100,0.087
1715670598.238446,1973780.000,60651,3,AY,1,100,0.083
1715670598.278630,1973818.333,60667,3,AY,1,100,0.084
1715670598.318815,1973856.667,60667,3,AY,1,100,0.085
1715670598.358999,1973895.000,60667,3,AY,1,100,0.084
1715670598.398834,1973933.000,60685,2,AY,1,100,0.087
1715670598.438668,1973971.000,60685,2,AY,1,100,0.084
1715670598.478852,1974009.333,60700,3,AY,1,100,0.085
1715670598.519036,1974047.667,60700,3,AY,1,100,0.086
1715670598.559221,1974086.000,60700,3,AY,1,100,0.083
1715670598.598706,1974123.667,60716,3,AY,1,100,0.083
1715670598.638191,1974161.333,60716,3,AY,1,100,0.086
1715670598.677676,1974199.000,60716,3,AY,1,100,0.086
1715670598.716987,1974236.500,60737,2,AY,1,100,0.085
1715670598.756298,1974274.000,60737,2,AY,1,100,0.086
1715670598.796132,1974312.000,60754,3,AY,1,100,0.088
1715670598.835967,1974350.000,60754,3,AY,1,100,0.083
1715670598.875802,1974388.000,60754,3,AY,1,100,0.085
1715670598.915636,1974426.000,60770,3,AY,1,100,0.088
1715670598.955471,1974464.000,60770,3,AY,1,100,0.083
1715670598.995306,1974502.000,60770,3,AY,1,100,0.086
1715670599.043003,1974547.500,60787,2,AY,1,100,0.084
1715670599.090699,1974593.000,60787,2,AY,1,100,0.083
1715670599.130883,1974631.333,60802,3,AY,1,100,0.087
1715670599.171068,1974669.667,60802,3,AY,1,100,0.085
1715670599.211252,1974708.000,60802,3,AY,1,100,0.087
1715670599.251086,1974746.000,60819,2,AY,1,100,0.086
1715670599.290921,1974784.000,60819,2,AY,1,100,0.087
1715670599.331105,1974822.333,60836,3,AY,1,100,0.086
1715670599.371289,1974860.667,60836,3,AY,1,100,0.084
1715670599.411474,1974899.000,60836,3,AY,1,100,0.083
1715670599.451658,1974937.333,60853,3,AY,1,100,0.086
1715670599.491842,1974975.667,60853,3,AY,1,100,0.084
1715670599.532026,1975014.000,60853,3,AY,1,100,0.084
1715670599.572385,1975052.500,60868,2,AY,1,100,0.085
1715670599.612744,1975091.000,60868,2,AY,1,100,0.084
1715670599.652229,1975128.667,60887,3,AY,1,100,0.084
1715670599.691714,1975166.333,60887,3,AY,1,100,0.086
1715670599.731200,1975204.000,60887,3,AY,1,100,0.084
1715670599.770335,1975241.333,60903,3,AY,1,100,0.087
1715670599.809471,1975278.667,60903,3,AY,1,100,0.085
