LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1715670597.653505,1973222,60558,1,BI,1,100,1340
1715670598.726946,1974246,60726,1,BI,1,100,1070
1715670599.720717,1975194,60877,1,BI,1,100,980
1715670600.636915,1976068,61027,1,BI,1,100,920
1715670601.633831,1977019,61177,1,BI,1,100,990
1715670604.831091,1980069,61665,1,BI,1,100,3180
1715670606.818633,1981965,61978,1,BI,1,100,1980
1715670608.596519,1983661,62245,1,BI,1,100,1770
1715670609.396358,1984424,62351,1,BI,1,100,790
1715670610.296832,1985283,62483,1,BI,1,100,900
1715670611.298990,1986239,62634,1,BI,1,100,990
1715670612.256071,1987152,62784,1,BI,1,100,960
1715670613.320077,1988167,62935,1,BI,1,100,1060
1715670614.375697,1989174,63103,1,BI,1,100,1050
1715670615.379951,1990132,63254,1,BI,1,100,990
1715670616.467019,1991169,63437,1,BI,1,100,1090
1715670617.382169,1992042,63569,1,BI,1,100,900
1715670618.497541,1993106,63753,1,BI,1,100,1110
1715670619.452526,1994017,63904,1,BI,1,100,950
1715670620.523870,1995039,64071,1,BI,1,100,1070
1715670621.637145,1996101,64236,1,BI,1,100,1100
1715670622.661316,1997078,64387,1,BI,1,100,1020
1715670623.649846,1998021,64555,1,BI,1,100,990
1715670624.692886,1999016,64627,1,BI,1,100,1030
1715670625.702382,1999979,64778,1,BI,1,100,1010
1715670626.578745,2000815,64927,1,BI,1,100,870
1715670627.738145,2001921,65093,1,BI,1,100,1150
1715670628.698371,2002837,65262,1,BI,1,100,960
1715670629.412251,2003518,65363,1,BI,1,100,700
1715670630.379815,2004441,65512,1,BI,1,100,970
1715670631.380924,2005396,143,1,BI,1,100,990
1715670632.572821,2006533,325,1,BI,1,100,1190
1715670633.858015,2007759,525,1,BI,1,100,1270
1715670635.774274,2009587,823,1,BI,1,100,1910
1715670636.859245,2010622,989,1,BI,1,100,1080
1715670637.853017,2011570,1154,1,BI,1,100,990
1715670638.727283,2012404,1291,1,BI,1,100,860
1715670639.705331,2013337,1440,1,BI,1,100,980
1715670640.606853,2014197,1589,1,BI,1,100,900
1715670640.887792,2014465,1625,1,BI,1,100,270
1715670642.524160,2016026,1889,1,BI,1,100,1630
1715670643.174095,2016646,1989,1,BI,1,100,640
1715670643.767423,2017212,2078,1,BI,1,100,600
1715670646.064208,2019403,2440,1,BI,1,100,2280
1715670647.017096,2020312,2589,1,BI,1,100,950
1715670649.991072,2023149,3054,1,BI,1,100,2950
1715670650.883160,2024000,3186,1,BI,1,100,890
1715670651.243768,2024344,3238,1,BI,1,100,360
