LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1715670598.671387,1974193.000,60724,1,BV,1,100,3.86
1715670603.660160,1978952.000,61497,1,BV,1,100,3.86
1715670608.653126,1983715.000,62262,1,BV,1,100,3.86
1715670613.641899,1988474.000,63002,1,BV,1,100,3.86
1715670618.639059,1993241.000,63788,1,BV,1,100,3.86
1715670623.629929,1998002.000,64552,1,BV,1,100,3.86
1715670628.624992,2002767.000,65260,1,BV,1,100,3.87
1715670633.613765,2007526.000,506,1,BV,1,100,3.87
1715670638.613021,2012295.000,1289,1,BV,1,100,3.87
1715670643.603891,2017056.000,2058,1,BV,1,100,3.87
1715670648.598953,2021821.000,2836,1,BV,1,100,3.87
1715670653.590872,2026583.000,3619,1,BV,1,100,3.87
1715670658.582790,2031345.000,4401,1,BV,1,100,3.87
1715670663.570514,2036103.000,5200,1,BV,1,100,3.87
1715670668.559288,2040862.000,5966,1,BV,1,100,3.87
1715670673.550158,2045623.000,6753,1,BV,1,100,3.87
1715670678.536834,2050380.000,7535,1,BV,1,100,3.88
1715670683.525607,2055139.000,8318,1,BV,1,100,3.87
1715670688.512284,2059896.000,9102,1,BV,1,100,3.87
1715670693.503154,2064657.000,9867,1,BV,1,100,3.88
1715670698.490879,2069415.000,10650,1,BV,1,100,3.88
1715670703.480700,2074175.000,11434,1,BV,1,100,3.87
1715670708.472618,2078937.000,12218,1,BV,1,100,3.87
1715670713.464536,2083699.000,12999,1,BV,1,100,3.87
1715670718.453310,2088458.000,13784,1,BV,1,100,3.87
1715670723.445228,2093220.000,14549,1,BV,1,100,3.87
1715670728.440290,2097985.000,15331,1,BV,1,100,3.87
1715670733.431160,2102746.000,16130,1,BV,1,100,3.87
1715670738.424127,2107509.000,16896,1,BV,1,100,3.87
1715670743.414996,2112270.000,17695,1,BV,1,100,3.87
1715670748.410059,2117035.000,18465,1,BV,1,100,3.87
1715670753.396736,2121792.000,19234,1,BV,1,100,3.87
1715670758.392847,2126558.000,20032,1,BV,1,100,3.86
1715670763.383717,2131319.000,20826,1,BV,1,100,3.86
1715670768.379828,2136085.000,21633,1,BV,1,100,3.84
