LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1715670597.250965,1972838.000,60496,1,EA,1,100,4.376195
1715670597.314910,1972899.000,60514,2,EA,1,100,4.370725
1715670597.378855,1972960.000,60514,2,EA,1,100,4.357070
1715670597.442800,1973021.000,60530,2,EA,1,100,4.359787
1715670597.506746,1973082.000,60530,2,EA,1,100,4.354339
1715670597.570691,1973143.000,60546,1,EA,1,100,4.373458
1715670597.636733,1973206.000,60564,2,EA,1,100,4.373458
1715670597.702774,1973269.000,60564,2,EA,1,100,4.354339
1715670597.768816,1973332.000,60581,1,EA,1,100,4.357070
1715670597.836430,1973396.500,60597,2,EA,1,100,4.351629
1715670597.904044,1973461.000,60597,2,EA,1,100,4.359787
1715670597.971134,1973525.000,60615,2,EA,1,100,4.362507
1715670598.038224,1973589.000,60615,2,EA,1,100,4.351629
1715670598.105314,1973653.000,60630,1,EA,1,100,4.351629
1715670598.171880,1973716.500,60646,2,EA,1,100,4.359787
1715670598.238446,1973780.000,60646,2,EA,1,100,4.351629
1715670598.306585,1973845.000,60662,1,EA,1,100,4.357070
1715670598.372626,1973908.000,60680,2,EA,1,100,4.357070
1715670598.438668,1973971.000,60680,2,EA,1,100,4.351629
1715670598.504710,1974034.000,60696,1,EA,1,100,4.348885
1715670598.571276,1974097.500,60712,2,EA,1,100,4.357070
1715670598.637842,1974161.000,60712,2,EA,1,100,4.346201
1715670598.703359,1974223.500,60732,2,EA,1,100,4.351629
1715670598.768877,1974286.000,60732,2,EA,1,100,4.354339
1715670598.835967,1974350.000,60749,1,EA,1,100,4.348885
1715670598.903057,1974414.000,60765,2,EA,1,100,4.348885
1715670598.970147,1974478.000,60765,2,EA,1,100,4.354339
1715670599.036713,1974541.500,60783,2,EA,1,100,4.346201
1715670599.103279,1974605.000,60783,2,EA,1,100,4.351629
1715670599.171417,1974670.000,60798,1,EA,1,100,4.348885
1715670599.237459,1974733.000,60814,2,EA,1,100,4.359787
1715670599.303501,1974796.000,60814,2,EA,1,100,4.348885
1715670599.372687,1974862.000,60831,1,EA,1,100,4.346201
1715670599.439253,1974925.500,60848,2,EA,1,100,4.351629
1715670599.505819,1974989.000,60848,2,EA,1,100,4.351629
1715670599.572909,1975053.000,60864,1,EA,1,100,4.362507
1715670599.638427,1975115.500,60883,2,EA,1,100,4.354339
1715670599.703944,1975178.000,60883,2,EA,1,100,4.354339
1715670599.769462,1975240.500,60898,2,EA,1,100,4.362507
1715670599.834980,1975303.000,60898,2,EA,1,100,4.354339
1715670599.902070,1975367.000,60915,1,EA,1,100,4.365249
1715670599.967587,1975429.500,60932,2,EA,1,100,4.359787
1715670600.033105,1975492.000,60932,2,EA,1,100,4.359787
1715670600.100195,1975556.000,60949,1,EA,1,100,4.351629
1715670600.167285,1975620.000,60964,2,EA,1,100,4.357070
1715670600.234375,1975684.000,60964,2,EA,1,100,4.357070
1715670600.301465,1975748.000,60981,2,EA,1,100,4.357070
1715670600.368555,1975812.000,60981,2,EA,1,100,4.351629
1715670600.435645,1975876.000,60997,1,EA,1,100,4.362507
1715670600.502735,1975940.000,61014,2,EA,1,100,4.357070
1715670600.569825,1976004.000,61014,2,EA,1,100,4.346201
1715670600.635867,1976067.000,61032,1,EA,1,100,4.351629
1715670600.701909,1976130.000,61048,2,EA,1,100,4.357070
1715670600.767950,1976193.000,61048,2,EA,1,100,4.354339
1715670600.832944,1976255.000,61064,2,EA,1,100,4.359787
1715670600.897937,1976317.000,61064,2,EA,1,100,4.354339
1715670600.965027,1976381.000,61081,1,EA,1,100,4.351629
1715670601.030545,1976443.500,61098,2,EA,1,100,4.362507
1715670601.096063,1976506.000,61098,2,EA,1,100,4.351629
1715670601.164201,1976571.000,61115,1,EA,1,100,4.351629
1715670601.230767,1976634.500,61129,2,EA,1,100,4.354339
1715670601.297333,1976698.000,61129,2,EA,1,100,4.359787
1715670601.364947,1976762.500,61147,2,EA,1,100,4.354339
1715670601.432561,1976827.000,61147,2,EA,1,100,4.348885
1715670601.498603,1976890.000,61163,1,EA,1,100,4.348885
1715670601.566217,1976954.500,61182,2,EA,1,100,4.354339
1715670601.633831,1977019.000,61182,2,EA,1,100,4.340767
1715670601.699873,1977082.000,61205,3,EA,1,100,4.348885
1715670601.765915,1977145.000,61205,3,EA,1,100,4.351629
1715670601.831956,1977208.000,61205,3,EA,1,100,4.346201
1715670601.898522,1977271.500,61221,2,EA,1,100,4.335367
1715670601.965088,1977335.000,61221,2,EA,1,100,4.348885
1715670602.031130,1977398.000,61239,1,EA,1,100,4.367976
1715670602.097172,1977461.000,61255,2,EA,1,100,4.354339
1715670602.163213,1977524.000,61255,2,EA,1,100,4.357070
1715670602.230304,1977588.000,61272,1,EA,1,100,4.348885
1715670602.296345,1977651.000,61288,2,EA,1,100,4.343502
1715670602.362387,1977714.000,61288,2,EA,1,100,4.340767
1715670602.430001,1977778.500,61304,2,EA,1,100,4.338075
1715670602.497615,1977843.000,61304,2,EA,1,100,4.338075
1715670602.563657,1977906.000,61320,1,EA,1,100,4.348885
1715670602.631271,1977970.500,61338,2,EA,1,100,4.346201
1715670602.698885,1978035.000,61338,2,EA,1,100,4.346201
1715670602.763879,1978097.000,61354,1,EA,1,100,4.338075
1715670602.831493,1978161.500,61369,2,EA,1,100,4.348885
1715670602.899107,1978226.000,61369,2,EA,1,100,4.354339
1715670602.964625,1978288.500,61386,2,EA,1,100,4.357070
1715670603.030143,1978351.000,61386,2,EA,1,100,4.354339
1715670603.097233,1978415.000,61403,1,EA,1,100,4.357070
1715670603.162750,1978477.500,61419,2,EA,1,100,4.359787
1715670603.228268,1978540.000,61419,2,EA,1,100,4.354339
1715670603.294310,1978603.000,61436,1,EA,1,100,4.359787
