LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1715670597.191213,1972781.000,60492,4,EM,1,100,RS
1715670597.191213,1972781.000,60492,4,EM,1,100,RB
1715670597.191213,1972781.000,60492,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670597.191213,1972781.000,60492,4,EM,1,100,PS
1715670597.243889,1972831.250,60509,4,EM,1,100,RS
1715670597.296565,1972881.500,60509,4,EM,1,100,RB
1715670597.349241,1972931.750,60509,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670597.401917,1972982.000,60509,4,EM,1,100,PS
1715670597.454594,1973032.250,60542,4,EM,1,100,RS
1715670597.507270,1973082.500,60542,4,EM,1,100,RB
1715670597.559946,1973132.750,60542,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670597.612622,1973183.000,60542,4,EM,1,100,PS
1715670597.665560,1973233.500,60577,4,EM,1,100,RS
1715670597.718498,1973284.000,60577,4,EM,1,100,RB
1715670597.771437,1973334.500,60577,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670597.824375,1973385.000,60577,4,EM,1,100,PS
1715670597.876789,1973435.000,60610,4,EM,1,100,RS
1715670597.929203,1973485.000,60610,4,EM,1,100,RB
1715670597.981617,1973535.000,60610,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670598.034031,1973585.000,60610,4,EM,1,100,PS
1715670598.086708,1973635.250,60642,4,EM,1,100,RS
1715670598.139384,1973685.500,60642,4,EM,1,100,RB
1715670598.192060,1973735.750,60642,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670598.244736,1973786.000,60642,4,EM,1,100,PS
1715670598.297412,1973836.250,60675,4,EM,1,100,RS
1715670598.350088,1973886.500,60675,4,EM,1,100,RB
1715670598.402765,1973936.750,60675,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670598.455441,1973987.000,60675,4,EM,1,100,PS
1715670598.508117,1974037.250,60708,4,EM,1,100,RS
1715670598.560793,1974087.500,60708,4,EM,1,100,RB
1715670598.613469,1974137.750,60708,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670598.666145,1974188.000,60708,4,EM,1,100,PS
1715670598.718822,1974238.250,60745,4,EM,1,100,RS
1715670598.771498,1974288.500,60745,4,EM,1,100,RB
1715670598.824174,1974338.750,60745,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670598.876850,1974389.000,60745,4,EM,1,100,PS
1715670598.929526,1974439.250,60778,4,EM,1,100,RS
1715670598.982202,1974489.500,60778,4,EM,1,100,RB
1715670599.034878,1974539.750,60778,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670599.087555,1974590.000,60778,4,EM,1,100,PS
1715670599.140231,1974640.250,60810,4,EM,1,100,RS
1715670599.192907,1974690.500,60810,4,EM,1,100,RB
1715670599.245583,1974740.750,60810,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670599.298259,1974791.000,60810,4,EM,1,100,PS
1715670599.350935,1974841.250,60844,4,EM,1,100,RS
1715670599.403612,1974891.500,60844,4,EM,1,100,RB
1715670599.456288,1974941.750,60844,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670599.508964,1974992.000,60844,4,EM,1,100,PS
1715670599.561640,1975042.250,60876,4,EM,1,100,RS
1715670599.614316,1975092.500,60876,4,EM,1,100,RB
1715670599.666992,1975142.750,60876,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670599.719669,1975193.000,60876,4,EM,1,100,PS
1715670599.772345,1975243.250,60911,4,EM,1,100,RS
1715670599.825021,1975293.500,60911,4,EM,1,100,RB
1715670599.877697,1975343.750,60911,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670599.930373,1975394.000,60911,4,EM,1,100,PS
1715670599.983311,1975444.500,60945,4,EM,1,100,RS
1715670600.036250,1975495.000,60945,4,EM,1,100,RB
1715670600.089188,1975545.500,60945,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670600.142126,1975596.000,60945,4,EM,1,100,PS
1715670600.194540,1975646.000,60976,4,EM,1,100,RS
1715670600.246954,1975696.000,60976,4,EM,1,100,RB
1715670600.299368,1975746.000,60976,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670600.351783,1975796.000,60976,4,EM,1,100,PS
1715670600.404459,1975846.250,61010,4,EM,1,100,RS
1715670600.457135,1975896.500,61010,4,EM,1,100,RB
1715670600.509811,1975946.750,61010,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670600.562487,1975997.000,61010,4,EM,1,100,PS
1715670600.615163,1976047.250,61043,4,EM,1,100,RS
1715670600.667840,1976097.500,61043,4,EM,1,100,RB
1715670600.720515,1976147.750,61043,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670600.773192,1976198.000,61043,4,EM,1,100,PS
1715670600.825868,1976248.250,61077,4,EM,1,100,RS
1715670600.878544,1976298.500,61077,4,EM,1,100,RB
1715670600.931220,1976348.750,61077,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670600.983896,1976399.000,61077,4,EM,1,100,PS
1715670601.037359,1976450.000,61111,4,EM,1,100,RS
1715670601.090821,1976501.000,61111,4,EM,1,100,RB
1715670601.144284,1976552.000,61111,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670601.197746,1976603.000,61111,4,EM,1,100,PS
1715670601.250160,1976653.000,61142,4,EM,1,100,RS
1715670601.302574,1976703.000,61142,4,EM,1,100,RB
1715670601.354988,1976753.000,61142,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670601.407402,1976803.000,61142,4,EM,1,100,PS
1715670601.460078,1976853.250,61176,4,EM,1,100,RS
1715670601.512755,1976903.500,61176,4,EM,1,100,RB
1715670601.565431,1976953.750,61176,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670601.618107,1977004.000,61176,4,EM,1,100,PS
1715670601.677073,1977060.250,61200,4,EM,1,100,RS
1715670601.736039,1977116.500,61200,4,EM,1,100,RB
1715670601.795004,1977172.750,61200,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670601.853970,1977229.000,61200,4,EM,1,100,PS
1715670601.906646,1977279.250,61234,4,EM,1,100,RS
1715670601.959323,1977329.500,61234,4,EM,1,100,RB
1715670602.011999,1977379.750,61234,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670602.064675,1977430.000,61234,4,EM,1,100,PS
1715670602.117351,1977480.250,61268,4,EM,1,100,RS
1715670602.170027,1977530.500,61268,4,EM,1,100,RB
1715670602.222703,1977580.750,61268,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670602.275380,1977631.000,61268,4,EM,1,100,PS
1715670602.328056,1977681.250,61300,4,EM,1,100,RS
1715670602.380732,1977731.500,61300,4,EM,1,100,RB
1715670602.433408,1977781.750,61300,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670602.486084,1977832.000,61300,4,EM,1,100,PS
1715670602.538760,1977882.250,61333,4,EM,1,100,RS
1715670602.591437,1977932.500,61333,4,EM,1,100,RB
1715670602.644113,1977982.750,61333,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670602.696789,1978033.000,61333,4,EM,1,100,PS
1715670602.749465,1978083.250,61365,4,EM,1,100,RS
1715670602.802141,1978133.500,61365,4,EM,1,100,RB
1715670602.854817,1978183.750,61365,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670602.907494,1978234.000,61365,4,EM,1,100,PS
1715670602.960170,1978284.250,61399,4,EM,1,100,RS
1715670603.012846,1978334.500,61399,4,EM,1,100,RB
1715670603.065522,1978384.750,61399,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670603.118198,1978435.000,61399,4,EM,1,100,PS
1715670603.170874,1978485.250,61432,4,EM,1,100,RS
1715670603.223551,1978535.500,61432,4,EM,1,100,RB
1715670603.276227,1978585.750,61432,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670603.328903,1978636.000,61432,4,EM,1,100,PS
1715670603.381579,1978686.250,61464,4,EM,1,100,RS
1715670603.434255,1978736.500,61464,4,EM,1,100,RB
1715670603.486931,1978786.750,61464,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670603.539608,1978837.000,61464,4,EM,1,100,PS
1715670603.592284,1978887.250,61499,4,EM,1,100,RS
1715670603.644960,1978937.500,61499,4,EM,1,100,RB
1715670603.697636,1978987.750,61499,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670603.750312,1979038.000,61499,4,EM,1,100,PS
1715670603.802988,1979088.250,61531,4,EM,1,100,RS
1715670603.855664,1979138.500,61531,4,EM,1,100,RB
1715670603.908341,1979188.750,61531,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670603.961017,1979239.000,61531,4,EM,1,100,PS
1715670604.013693,1979289.250,61565,4,EM,1,100,RS
1715670604.066369,1979339.500,61565,4,EM,1,100,RB
1715670604.119045,1979389.750,61565,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670604.171721,1979440.000,61565,4,EM,1,100,PS
1715670604.224398,1979490.250,61598,4,EM,1,100,RS
1715670604.277074,1979540.500,61598,4,EM,1,100,RB
1715670604.329750,1979590.750,61598,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670604.382426,1979641.000,61598,4,EM,1,100,PS
1715670604.435102,1979691.250,61630,4,EM,1,100,RS
1715670604.487778,1979741.500,61630,4,EM,1,100,RB
1715670604.540455,1979791.750,61630,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670604.593131,1979842.000,61630,4,EM,1,100,PS
1715670604.648952,1979895.250,61664,4,EM,1,100,RS
1715670604.704773,1979948.500,61664,4,EM,1,100,RB
1715670604.760594,1980001.750,61664,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670604.816415,1980055.000,61664,4,EM,1,100,PS
1715670604.869091,1980105.250,61698,4,EM,1,100,RS
1715670604.921767,1980155.500,61698,4,EM,1,100,RB
1715670604.974443,1980205.750,61698,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670605.027119,1980256.000,61698,4,EM,1,100,PS
1715670605.079796,1980306.250,61731,4,EM,1,100,RS
1715670605.132472,1980356.500,61731,4,EM,1,100,RB
1715670605.185148,1980406.750,61731,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670605.237824,1980457.000,61731,4,EM,1,100,PS
1715670605.290762,1980507.500,61765,4,EM,1,100,RS
1715670605.343700,1980558.000,61765,4,EM,1,100,RB
1715670605.396639,1980608.500,61765,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670605.449577,1980659.000,61765,4,EM,1,100,PS
1715670605.502253,1980709.250,61796,4,EM,1,100,RS
1715670605.554929,1980759.500,61796,4,EM,1,100,RB
1715670605.607605,1980809.750,61796,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670605.660282,1980860.000,61796,4,EM,1,100,PS
