LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1715670597.653505,1973222,60559,1,HR,1,100,53
1715670598.726946,1974246,60727,1,HR,1,100,54
1715670599.720717,1975194,60878,1,HR,1,100,56
1715670600.636915,1976068,61028,1,HR,1,100,58
1715670601.633831,1977019,61178,1,HR,1,100,58
1715670604.831091,1980069,61666,1,HR,1,100,50
1715670606.818633,1981965,61979,1,HR,1,100,45
1715670608.596519,1983661,62246,1,HR,1,100,43
1715670609.396358,1984424,62352,1,HR,1,100,50
1715670610.296832,1985283,62484,1,HR,1,100,54
1715670611.298990,1986239,62635,1,HR,1,100,55
1715670612.256071,1987152,62785,1,HR,1,100,57
1715670613.320077,1988167,62936,1,HR,1,100,57
1715670614.375697,1989174,63104,1,HR,1,100,57
1715670615.379951,1990132,63255,1,HR,1,100,58
1715670616.467019,1991169,63438,1,HR,1,100,57
1715670617.382169,1992042,63570,1,HR,1,100,59
1715670618.497541,1993106,63754,1,HR,1,100,58
1715670619.452526,1994017,63905,1,HR,1,100,59
1715670620.523870,1995039,64072,1,HR,1,100,59
1715670621.637145,1996101,64237,1,HR,1,100,58
1715670622.661316,1997078,64388,1,HR,1,100,58
1715670623.649846,1998021,64556,1,HR,1,100,59
1715670624.692886,1999016,64628,1,HR,1,100,58
1715670625.702382,1999979,64779,1,HR,1,100,59
1715670626.578745,2000815,64928,1,HR,1,100,61
1715670627.738145,2001921,65094,1,HR,1,100,59
1715670628.698371,2002837,65263,1,HR,1,100,60
1715670629.412251,2003518,65364,1,HR,1,100,66
1715670630.379815,2004441,65513,1,HR,1,100,65
1715670631.380924,2005396,144,1,HR,1,100,64
1715670632.572821,2006533,326,1,HR,1,100,61
1715670633.858015,2007759,526,1,HR,1,100,58
1715670635.774274,2009587,824,1,HR,1,100,52
1715670636.859245,2010622,990,1,HR,1,100,53
1715670637.853017,2011570,1155,1,HR,1,100,54
1715670638.727283,2012404,1292,1,HR,1,100,58
1715670639.705331,2013337,1441,1,HR,1,100,59
1715670640.606853,2014197,1590,1,HR,1,100,60
1715670640.887792,2014465,1626,1,HR,1,100,96
1715670642.524160,2016026,1890,1,HR,1,100,83
1715670643.174095,2016646,1990,1,HR,1,100,85
1715670643.767423,2017212,2079,1,HR,1,100,89
1715670646.064208,2019403,2441,1,HR,1,100,75
1715670647.017096,2020312,2590,1,HR,1,100,72
1715670649.991072,2023149,3055,1,HR,1,100,61
1715670650.883160,2024000,3187,1,HR,1,100,62
1715670651.243768,2024344,3239,1,HR,1,100,85
1715670652.522672,2025564,3438,1,HR,1,100,77
1715670653.905356,2026883,3654,1,HR,1,100,70
1715670654.745030,2027684,3789,1,HR,1,100,70
1715670655.713642,2028608,3938,1,HR,1,100,68
1715670656.938035,2029776,4137,1,HR,1,100,64
1715670658.575452,2031338,4385,1,HR,1,100,58
1715670659.577609,2032294,4552,1,HR,1,100,59
1715670660.572428,2033243,4704,1,HR,1,100,59
1715670661.603938,2034227,4870,1,HR,1,100,59
1715670662.617626,2035194,5036,1,HR,1,100,59
1715670663.699453,2036226,5204,1,HR,1,100,58
1715670664.734107,2037213,5369,1,HR,1,100,58
1715670665.786582,2038217,5536,1,HR,1,100,58
1715670666.800271,2039184,5686,1,HR,1,100,58
1715670667.810815,2040148,5852,1,HR,1,100,59
1715670668.765799,2041059,5987,1,HR,1,100,60
1715670669.785778,2042032,6153,1,HR,1,100,59
1715670670.529009,2042741,6271,1,HR,1,100,64
1715670671.257565,2043436,6386,1,HR,1,100,69
1715670672.236660,2044370,6536,1,HR,1,100,67
1715670673.322680,2045406,6702,1,HR,1,100,64
1715670674.469501,2046500,6887,1,HR,1,100,62
1715670675.521976,2047504,7053,1,HR,1,100,61
1715670676.479057,2048417,7203,1,HR,1,100,61
1715670677.613298,2049499,7370,1,HR,1,100,60
1715670678.712945,2050548,7554,1,HR,1,100,58
1715670679.768565,2051555,7720,1,HR,1,100,58
1715670680.913289,2052647,7886,1,HR,1,100,57
1715670681.989875,2053674,8069,1,HR,1,100,57
1715670683.072750,2054707,8235,1,HR,1,100,57
1715670684.201749,2055784,8403,1,HR,1,100,56
1715670685.264707,2056798,8569,1,HR,1,100,56
1715670686.311940,2057797,8736,1,HR,1,100,56
1715670687.450375,2058883,8918,1,HR,1,100,56
1715670688.491318,2059876,9068,1,HR,1,100,56
1715670689.652815,2060984,9253,1,HR,1,100,55
1715670690.743028,2062024,9436,1,HR,1,100,55
1715670691.781875,2063015,9585,1,HR,1,100,56
1715670692.892005,2064074,9769,1,HR,1,100,55
1715670693.976977,2065109,9937,1,HR,1,100,55
1715670694.994859,2066080,10103,1,HR,1,100,56
1715670696.158452,2067190,10269,1,HR,1,100,55
1715670697.286403,2068266,10452,1,HR,1,100,55
1715670698.262353,2069197,10601,1,HR,1,100,56
1715670699.371435,2070255,10786,1,HR,1,100,56
1715670700.414476,2071250,10936,1,HR,1,100,56
1715670701.334867,2072128,11085,1,HR,1,100,59
1715670702.398873,2073143,11251,1,HR,1,100,58
1715670703.470217,2074165,11417,1,HR,1,100,58
1715670704.324567,2074980,11554,1,HR,1,100,61
1715670705.238669,2075852,11704,1,HR,1,100,62
1715670706.344606,2076907,11870,1,HR,1,100,60
1715670707.517633,2078026,12052,1,HR,1,100,58
1715670708.517694,2078980,12221,1,HR,1,100,59
