LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
1715670753.142004,2121549,19164,8,LM,1,100,486187.4005106,2231511.7144089,486187.4053591,14,
1715670754.232217,2122589,19336,8,LM,1,100,486187.9338478,2231512.2477461,486187.9391444,16,
1715670754.360107,2122711,19356,8,LM,1,100,486188.6671637,2231512.9810620,486188.6717793,14,
1715670754.986979,2123309,19460,8,LM,1,100,486189.1844892,2231513.4983596,486189.2059425,16,
1715670755.772143,2124058,19579,8,LM,1,100,486189.9838353,2231514.2977057,486190.0048514,14,
1715670756.297332,2124559,19666,8,LM,1,100,486190.5672513,2231514.8811218,486190.5717949,16,
1715670756.931542,2125164,19768,8,LM,1,100,486191.2345651,2231515.5484266,486191.2387249,14,
1715670757.546884,2125751,19871,8,LM,1,100,486191.8172100,2231516.1310715,486191.8389671,16,
1715670758.330998,2126499,19995,8,LM,1,100,486192.5672490,2231516.8811105,486192.5718694,15,
1715670759.283887,2127408,20150,8,LM,1,100,486193.1007042,2231517.4145213,486193.1056641,18,
1715670759.596275,2127706,20203,8,LM,1,100,486193.8340441,2231518.1478612,486193.8392791,14,
1715670760.141381,2128226,20288,8,LM,1,100,486194.4006685,2231518.7144856,486194.4054595,16,
1715670761.247319,2129281,20458,8,LM,1,100,486195.1505229,2231519.4643540,486195.1726824,14,
1715670761.537693,2129558,20511,8,LM,1,100,486195.7505961,2231520.0644272,486195.7722476,16,
1715670762.075461,2130071,20596,8,LM,1,100,486196.3673127,2231520.6811438,486196.3722330,14,
1715670762.624761,2130595,20684,8,LM,1,100,486196.9007676,2231521.2145987,486196.9060866,16,
1715670763.398393,2131333,20807,8,LM,1,100,486197.6178544,2231521.9316935,486197.6389078,14,
1715670763.917292,2131828,20896,8,LM,1,100,486198.1507042,2231522.4645432,486198.1722085,16,
1715670764.668911,2132545,21015,8,LM,1,100,486198.9173089,2231523.2311480,486198.9388853,14,
1715670765.185713,2133038,21102,8,LM,1,100,486199.4507113,2231523.7645187,486199.4716788,16,
1715670765.943621,2133761,21221,8,LM,1,100,486200.2172401,2231524.5310475,486200.2388460,14,
1715670766.513886,2134305,21306,8,LM,1,100,486200.8007073,2231525.1145147,486200.8050656,16,
1715670767.252925,2135010,21427,8,LM,1,100,486201.5172413,2231525.8310617,486201.5384820,15,
1715670767.877701,2135606,21529,8,LM,1,100,486202.0507048,2231526.3645252,486202.0717002,18,
1715670768.666009,2136358,21652,8,LM,1,100,486202.8507697,2231527.1645900,486202.8718712,14,
1715670769.220550,2136887,21743,8,LM,1,100,486203.3840318,2231527.6978543,486203.4051042,16,
1715670769.862099,2137499,21845,8,LM,1,100,486204.1339707,2231528.4477933,486204.1384352,14,
1715670770.396722,2138009,21931,8,LM,1,100,486204.6507481,2231528.9645706,486204.6714985,16,
1715670771.130520,2138709,22048,8,LM,1,100,486205.4172923,2231529.7310683,486205.4382414,14,
1715670771.783599,2139332,22152,8,LM,1,100,486205.9340380,2231530.2478140,486205.9383913,16,
1715670772.330802,2139854,22238,8,LM,1,100,486206.6173464,2231530.9311224,486206.6384362,15,
1715670772.875909,2140374,22325,8,LM,1,100,486207.1674304,2231531.4812629,486207.1719225,18,
1715670773.703003,2141163,22464,8,LM,1,100,486207.9840368,2231532.2978693,486208.0052155,14,
1715670774.336165,2141767,22554,8,LM,1,100,486208.5340376,2231532.8478701,486208.5384335,16,
1715670775.340419,2142725,22709,8,LM,1,100,486209.2173543,2231533.5311218,486209.2385234,14,
1715670775.864560,2143225,22796,8,LM,1,100,486209.7840722,2231534.0978397,486209.8051185,16,
1715670776.273390,2143615,22850,8,LM,1,100,486210.5009902,2231534.8147577,486210.5051866,15,
1715670777.637205,2144916,23067,8,LM,1,100,486211.8341917,2231536.1479547,486211.8385766,14,
1715670778.070145,2145329,23138,8,LM,1,100,486212.3677918,2231536.6815548,486212.3719457,16,
1715670778.735804,2145964,23242,8,LM,1,100,486213.0174553,2231537.3312011,486213.0385182,14,
1715670779.356387,2146556,23345,8,LM,1,100,486213.6174632,2231537.9312090,486213.6386749,16,
1715670780.070267,2147237,23452,8,LM,1,100,486214.3674189,2231538.6811647,486214.3715886,14,
1715670780.800920,2147934,23573,8,LM,1,100,486214.9675254,2231539.2813263,486214.9719279,16,
1715670781.474965,2148577,23677,8,LM,1,100,486215.6841112,2231539.9979121,486215.7050949,14,
1715670781.995961,2149074,23762,8,LM,1,100,486216.2341951,2231540.5479960,486216.2390233,16,
1715670782.621785,2149671,23866,8,LM,1,100,486216.8841373,2231541.1979382,486216.9052484,14,
1715670783.154312,2150179,23952,8,LM,1,100,486217.4007870,2231541.7145340,486217.4052835,16,
1715670783.939475,2150928,24073,8,LM,1,100,486218.1841708,2231542.4979178,486218.2053601,14,
1715670784.440554,2151406,24157,8,LM,1,100,486218.7341617,2231543.0479087,486218.7385420,16,
1715670785.175400,2152107,24269,8,LM,1,100,486219.4516984,2231543.7654671,486219.4724882,14,
1715670785.808562,2152711,24373,8,LM,1,100,486220.0341997,2231544.3479684,486220.0388172,16,
1715670786.545504,2153414,24489,8,LM,1,100,486220.7346342,2231545.0484029,486220.7385929,15,
1715670787.846421,2154655,24694,8,LM,1,100,486222.0508978,2231546.3646176,486222.0719417,14,
1715670789.350706,2156090,24930,8,LM,1,100,486222.6175145,2231546.9312343,486222.6391656,16,
1715670789.365382,2156104,24933,8,LM,1,100,486223.3508340,2231547.6645378,486223.3720754,14,
1715670789.579232,2156308,24970,8,LM,1,100,486223.8509519,2231548.1646557,486223.8724426,16,
1715670790.434629,2157124,25096,8,LM,1,100,486224.6012696,2231548.9149734,486224.6057180,14,
1715670790.969253,2157634,25183,8,LM,1,100,486225.1843637,2231549.4980673,486225.2059021,16,
1715670791.614995,2158250,25285,8,LM,1,100,486225.8842975,2231550.1980010,486225.9061010,14,
1715670792.237674,2158844,25389,8,LM,1,100,486226.4842534,2231550.7979569,486226.5055149,16,
1715670792.910671,2159486,25492,8,LM,1,100,486227.1842506,2231551.4979659,486227.2054844,15,
1715670794.298596,2160810,25713,8,LM,1,100,486228.5345617,2231552.8482770,486228.5386736,14,
1715670794.945386,2161427,25815,8,LM,1,100,486229.0843719,2231553.3981046,486229.1053682,16,
1715670795.563872,2162017,25919,8,LM,1,100,486229.8174799,2231554.1312126,486229.8390652,14,
1715670796.144620,2162571,26011,8,LM,1,100,486230.4175464,2231554.7312791,486230.4388444,16,
1715670796.875273,2163268,26132,8,LM,1,100,486231.0843120,2231555.3980177,486231.1051491,14,
1715670797.415138,2163783,26216,8,LM,1,100,486231.6842775,2231555.9979832,486231.7054982,16,
1715670798.045156,2164384,26319,8,LM,1,100,486232.3341906,2231556.6478963,486232.3391678,14,
1715670798.685656,2164995,26422,8,LM,1,100,486232.9342303,2231557.2479360,486232.9386943,16,
1715670799.437274,2165712,26543,8,LM,1,100,486233.6510502,2231557.9647279,486233.6722025,14,
1715670799.874407,2166129,26612,8,LM,1,100,486234.1677590,2231558.4814367,486234.1725400,16,
1715670800.641750,2166861,26733,8,LM,1,100,486234.8843548,2231559.1980325,486234.9054035,14,
1715670801.184760,2167379,26809,8,LM,1,100,486235.4678303,2231559.7814545,486235.4721100,16,
1715670801.908074,2168069,26928,8,LM,1,100,486236.1844503,2231560.4980745,486236.2057047,14,
1715670802.574781,2168705,27032,8,LM,1,100,486236.7849674,2231561.0985916,486236.8054993,16,
1715670803.197461,2169299,27133,8,LM,1,100,486237.4175288,2231561.7312189,486237.4392134,15,
