LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1715670601.745997,1977126.000,61197,2,RD,1,100,TL
1715670601.745997,1977126.000,61197,2,RD,1,100,TU
1715670604.449516,1979705.000,62030,2,RD,1,100,TL
1715670607.153035,1982284.000,62030,2,RD,1,100,TU
1715670609.851312,1984858.000,62834,2,RD,1,100,TL
1715670612.549590,1987432.000,62834,2,RD,1,100,TU
1715670682.583726,2054240.500,19098,2,RD,1,100,TL
1715670752.617862,2121049.000,19098,2,RD,1,100,TU
1715670755.313519,2123620.500,19942,2,RD,1,100,TL
1715670758.009176,2126192.000,19942,2,RD,1,100,TU
1715670760.689108,2128748.500,20804,2,RD,1,100,TL
1715670763.369041,2131305.000,20804,2,RD,1,100,TU
1715670766.079898,2133891.000,21672,2,RD,1,100,TL
1715670768.790755,2136477.000,21672,2,RD,1,100,TU
1715670771.472260,2139035.000,22534,2,RD,1,100,TL
1715670774.153764,2141593.000,22534,2,RD,1,100,TU
1715670776.830552,2144146.500,23367,2,RD,1,100,TL
1715670779.507340,2146700.000,23367,2,RD,1,100,TU
1715670782.197231,2149266.000,24232,2,RD,1,100,TL
1715670784.887122,2151832.000,24232,2,RD,1,100,TU
1715670787.560765,2154382.500,25076,2,RD,1,100,TL
1715670790.234408,2156933.000,25076,2,RD,1,100,TU
1715670792.914340,2159489.500,25924,2,RD,1,100,TL
1715670795.594273,2162046.000,25924,2,RD,1,100,TU
1715670798.283115,2164611.000,26788,2,RD,1,100,TL
1715670800.971958,2167176.000,26788,2,RD,1,100,TU
1715670803.644029,2169725.000,27631,2,RD,1,100,TL
1715670806.316099,2172274.000,27631,2,RD,1,100,TU
1715670809.029052,2174862.000,28476,2,RD,1,100,TL
1715670811.742006,2177450.000,28476,2,RD,1,100,TU
1715670814.437663,2180021.500,29341,2,RD,1,100,TL
1715670817.133319,2182593.000,29341,2,RD,1,100,TU
1715670819.823210,2185159.000,30203,2,RD,1,100,TL
1715670822.513102,2187725.000,30203,2,RD,1,100,TU
1715670825.190938,2190279.500,31067,2,RD,1,100,TL
1715670827.868773,2192834.000,31067,2,RD,1,100,TU
1715670830.560761,2195402.000,31929,2,RD,1,100,TL
1715670833.252749,2197970.000,31929,2,RD,1,100,TU
1715670835.963606,2200556.000,32782,2,RD,1,100,TL
1715670838.674463,2203142.000,32782,2,RD,1,100,TU
1715670841.352298,2205696.500,33614,2,RD,1,100,TL
1715670844.030134,2208251.000,33614,2,RD,1,100,TU
1715670846.721074,2210818.000,34460,2,RD,1,100,TL
1715670849.412013,2213385.000,34460,2,RD,1,100,TU
1715670852.121822,2215970.000,35311,2,RD,1,100,TL
1715670854.831630,2218555.000,35311,2,RD,1,100,TU
1715670857.529384,2221128.500,36159,2,RD,1,100,TL
1715670860.227137,2223702.000,36159,2,RD,1,100,TU
1715670862.917028,2226268.000,37008,2,RD,1,100,TL
1715670865.606919,2228834.000,37008,2,RD,1,100,TU
1715670868.317252,2231419.500,37842,2,RD,1,100,TL
1715670871.027585,2234005.000,37842,2,RD,1,100,TU
1715670873.725862,2236579.000,38691,2,RD,1,100,TL
1715670876.424139,2239153.000,38691,2,RD,1,100,TU
1715670879.128182,2241732.500,39540,2,RD,1,100,TL
1715670881.832225,2244312.000,39540,2,RD,1,100,TU
1715670884.509013,2246865.500,40385,2,RD,1,100,TL
1715670887.185801,2249419.000,40385,2,RD,1,100,TU
1715670889.887223,2251996.000,41235,2,RD,1,100,TL
1715670892.588645,2254573.000,41235,2,RD,1,100,TU
1715670895.272771,2257133.500,42086,2,RD,1,100,TL
1715670897.956896,2259694.000,42086,2,RD,1,100,TU
1715670900.633684,2262247.500,42920,2,RD,1,100,TL
1715670903.310472,2264801.000,42920,2,RD,1,100,TU
1715670905.986735,2267354.000,43769,2,RD,1,100,TL
1715670908.662999,2269907.000,43769,2,RD,1,100,TU
1715670911.354462,2272474.500,44615,2,RD,1,100,TL
1715670914.045926,2275042.000,44615,2,RD,1,100,TU
1715670916.734245,2277606.500,45463,2,RD,1,100,TL
1715670919.422563,2280171.000,45463,2,RD,1,100,TU
1715670922.096730,2282722.000,46294,2,RD,1,100,TL
1715670924.770897,2285273.000,46294,2,RD,1,100,TU
1715670927.474416,2287852.000,47142,2,RD,1,100,TL
1715670930.177935,2290431.000,47142,2,RD,1,100,TU
1715670932.851578,2292981.500,47967,2,RD,1,100,TL
1715670935.525220,2295532.000,47967,2,RD,1,100,TU
1715670938.220353,2298103.000,48821,2,RD,1,100,TL
1715670940.915486,2300674.000,48821,2,RD,1,100,TU
1715670943.596990,2303232.000,49666,2,RD,1,100,TL
1715670946.278495,2305790.000,49666,2,RD,1,100,TU
1715670948.962097,2308350.000,50514,2,RD,1,100,TL
1715670951.645698,2310910.000,50514,2,RD,1,100,TU
1715670954.331396,2313472.000,51362,2,RD,1,100,TL
1715670957.017094,2316034.000,51362,2,RD,1,100,TU
1715670959.702792,2318596.000,52207,2,RD,1,100,TL
1715670962.388490,2321158.000,52207,2,RD,1,100,TU
1715670965.085720,2323731.000,53005,2,RD,1,100,TL
1715670967.782949,2326304.000,53005,2,RD,1,100,TU
