LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1715670597.378855,1972960.000,60510,1,SF,1,100,0.0070
1715670597.702774,1973269.000,60560,1,SF,1,100,0.0069
1715670598.038224,1973589.000,60611,1,SF,1,100,0.0068
1715670598.438668,1973971.000,60676,1,SF,1,100,0.0067
1715670598.768877,1974286.000,60728,1,SF,1,100,0.0066
1715670599.103279,1974605.000,60779,1,SF,1,100,0.0066
1715670599.372687,1974862.000,60827,1,SF,1,100,0.0065
1715670599.703944,1975178.000,60879,1,SF,1,100,0.0064
1715670600.033105,1975492.000,60928,1,SF,1,100,0.0063
1715670600.368555,1975812.000,60977,1,SF,1,100,0.0063
1715670600.767950,1976193.000,61044,1,SF,1,100,0.0062
1715670601.096063,1976506.000,61094,1,SF,1,100,0.0061
1715670601.432561,1976827.000,61143,1,SF,1,100,0.0061
1715670601.831956,1977208.000,61201,1,SF,1,100,0.0060
1715670602.031130,1977398.000,61235,1,SF,1,100,0.0059
1715670602.362387,1977714.000,61284,1,SF,1,100,0.0058
1715670602.698885,1978035.000,61334,1,SF,1,100,0.0058
1715670603.030143,1978351.000,61382,1,SF,1,100,0.0057
1715670603.426393,1978729.000,61448,1,SF,1,100,0.0056
1715670603.761843,1979049.000,61500,1,SF,1,100,0.0056
1715670604.028107,1979303.000,61548,1,SF,1,100,0.0055
1715670604.423309,1979680.000,61599,1,SF,1,100,0.0054
1715670604.692718,1979937.000,61647,1,SF,1,100,0.0054
1715670605.026071,1980255.000,61699,1,SF,1,100,0.0053
1715670605.358377,1980572.000,61748,1,SF,1,100,0.0053
1715670605.689634,1980888.000,61797,1,SF,1,100,0.0052
1715670606.091125,1981271.000,61863,1,SF,1,100,0.0051
1715670606.424479,1981589.000,61912,1,SF,1,100,0.0051
1715670606.752591,1981902.000,61961,1,SF,1,100,0.0050
1715670607.020952,1982158.000,62013,1,SF,1,100,0.0050
1715670607.354305,1982476.000,62048,1,SF,1,100,0.0049
1715670607.683465,1982790.000,62097,1,SF,1,100,0.0049
1715670608.018916,1983110.000,62147,1,SF,1,100,0.0048
1715670608.420408,1983493.000,62212,1,SF,1,100,0.0047
1715670608.750617,1983808.000,62265,1,SF,1,100,0.0047
1715670609.082922,1984125.000,62299,1,SF,1,100,0.0046
1715670609.353379,1984383.000,62333,1,SF,1,100,0.0046
1715670609.751726,1984763.000,62400,1,SF,1,100,0.0045
1715670610.079838,1985076.000,62449,1,SF,1,100,0.0045
1715670610.348198,1985332.000,62501,1,SF,1,100,0.0044
1715670610.681551,1985650.000,62550,1,SF,1,100,0.0044
1715670611.078850,1986029.000,62600,1,SF,1,100,0.0043
1715670611.414301,1986349.000,62651,1,SF,1,100,0.0043
1715670611.748703,1986668.000,62701,1,SF,1,100,0.0042
