LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1715670597.243627,1972831.000,60498,1,T1,1,100,37.199
1715670597.371517,1972953.000,60516,1,T1,1,100,36.980
1715670597.499408,1973075.000,60532,1,T1,1,100,36.920
1715670597.630443,1973200.000,60566,1,T1,1,100,36.895
1715670597.761478,1973325.000,60583,1,T1,1,100,36.990
1715670597.897755,1973455.000,60599,1,T1,1,100,37.137
1715670598.031935,1973583.000,60617,1,T1,1,100,36.953
1715670598.165066,1973710.000,60648,1,T1,1,100,36.909
1715670598.299247,1973838.000,60664,1,T1,1,100,36.996
1715670598.431330,1973964.000,60682,1,T1,1,100,37.069
1715670598.564462,1974091.000,60698,1,T1,1,100,36.994
1715670598.696545,1974217.000,60734,1,T1,1,100,36.962
1715670598.828629,1974343.000,60751,1,T1,1,100,36.877
1715670598.962809,1974471.000,60767,1,T1,1,100,36.876
1715670599.096989,1974599.000,60785,1,T1,1,100,36.911
1715670599.231169,1974727.000,60816,1,T1,1,100,36.997
1715670599.365349,1974855.000,60833,1,T1,1,100,36.963
1715670599.498481,1974982.000,60850,1,T1,1,100,36.913
1715670599.631613,1975109.000,60866,1,T1,1,100,36.962
1715670599.763696,1975235.000,60900,1,T1,1,100,36.913
1715670599.894732,1975360.000,60917,1,T1,1,100,36.927
1715670600.025767,1975485.000,60934,1,T1,1,100,37.039
1715670600.162043,1975615.000,60951,1,T1,1,100,37.088
1715670600.294127,1975741.000,60983,1,T1,1,100,37.109
1715670600.429355,1975870.000,60999,1,T1,1,100,36.941
1715670600.562487,1975997.000,61016,1,T1,1,100,36.974
1715670600.694571,1976123.000,61050,1,T1,1,100,37.060
1715670600.826654,1976249.000,61066,1,T1,1,100,36.955
1715670600.957689,1976374.000,61083,1,T1,1,100,37.016
1715670601.088725,1976499.000,61100,1,T1,1,100,37.078
1715670601.225001,1976629.000,61131,1,T1,1,100,36.963
1715670601.359181,1976757.000,61149,1,T1,1,100,36.913
1715670601.492313,1976884.000,61165,1,T1,1,100,36.998
1715670601.626493,1977012.000,61184,1,T1,1,100,36.893
1715670601.758577,1977138.000,61207,1,T1,1,100,37.024
1715670601.891708,1977265.000,61223,1,T1,1,100,36.940
1715670602.023792,1977391.000,61241,1,T1,1,100,36.974
1715670602.155875,1977517.000,61257,1,T1,1,100,36.989
1715670602.289007,1977644.000,61274,1,T1,1,100,37.031
1715670602.423187,1977772.000,61306,1,T1,1,100,36.978
1715670602.557367,1977900.000,61322,1,T1,1,100,36.955
1715670602.691547,1978028.000,61340,1,T1,1,100,36.910
1715670602.824679,1978155.000,61371,1,T1,1,100,36.925
1715670602.957811,1978282.000,61388,1,T1,1,100,36.932
1715670603.089895,1978408.000,61405,1,T1,1,100,36.971
1715670603.220930,1978533.000,61421,1,T1,1,100,36.952
1715670603.351965,1978658.000,61438,1,T1,1,100,37.015
1715670603.488242,1978788.000,61470,1,T1,1,100,36.935
1715670603.620325,1978914.000,61486,1,T1,1,100,36.901
1715670603.755553,1979043.000,61506,1,T1,1,100,36.993
1715670603.888685,1979170.000,61537,1,T1,1,100,36.961
1715670604.020769,1979296.000,61554,1,T1,1,100,36.948
1715670604.153901,1979423.000,61571,1,T1,1,100,37.048
1715670604.284936,1979548.000,61587,1,T1,1,100,37.092
1715670604.415971,1979673.000,61605,1,T1,1,100,37.040
1715670604.552248,1979803.000,61636,1,T1,1,100,37.124
1715670604.686428,1979931.000,61653,1,T1,1,100,37.089
1715670604.819560,1980058.000,61672,1,T1,1,100,37.074
1715670604.953740,1980186.000,61688,1,T1,1,100,37.067
1715670605.085823,1980312.000,61720,1,T1,1,100,36.994
1715670605.218955,1980439.000,61737,1,T1,1,100,37.068
1715670605.351038,1980565.000,61754,1,T1,1,100,36.994
1715670605.483122,1980691.000,61771,1,T1,1,100,37.033
1715670605.616254,1980818.000,61803,1,T1,1,100,36.943
1715670605.750434,1980946.000,61819,1,T1,1,100,36.940
1715670605.884614,1981074.000,61836,1,T1,1,100,37.045
1715670606.018794,1981202.000,61852,1,T1,1,100,36.949
1715670606.151926,1981329.000,61884,1,T1,1,100,37.013
1715670606.285058,1981456.000,61901,1,T1,1,100,37.148
1715670606.417141,1981582.000,61918,1,T1,1,100,37.099
1715670606.547128,1981706.000,61935,1,T1,1,100,37.078
1715670606.678163,1981831.000,61967,1,T1,1,100,36.963
1715670606.814440,1981961.000,61985,1,T1,1,100,36.949
1715670606.946523,1982087.000,62002,1,T1,1,100,36.978
1715670607.080703,1982215.000,62037,2,T1,1,100,36.955
1715670607.214884,1982343.000,62037,2,T1,1,100,36.945
1715670607.346967,1982469.000,62054,1,T1,1,100,36.976
1715670607.480099,1982596.000,62071,1,T1,1,100,36.919
1715670607.611134,1982721.000,62103,1,T1,1,100,36.894
1715670607.742169,1982846.000,62119,1,T1,1,100,37.025
1715670607.878446,1982976.000,62136,1,T1,1,100,37.082
1715670608.012626,1983104.000,62153,1,T1,1,100,36.929
1715670608.145758,1983231.000,62184,1,T1,1,100,37.005
1715670608.279938,1983359.000,62201,1,T1,1,100,37.073
1715670608.413070,1983486.000,62218,1,T1,1,100,36.961
1715670608.546201,1983613.000,62235,1,T1,1,100,36.912
1715670608.678285,1983739.000,62271,1,T1,1,100,36.926
