LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1715670597.257255,1972844.000,60499,1,TH,1,100,35.919
1715670597.385145,1972966.000,60517,1,TH,1,100,35.919
1715670597.513035,1973088.000,60548,1,TH,1,100,36.002
1715670597.644070,1973213.000,60567,1,TH,1,100,36.002
1715670597.776154,1973339.000,60584,1,TH,1,100,35.926
1715670597.911382,1973468.000,60600,1,TH,1,100,35.926
1715670598.044514,1973595.000,60632,1,TH,1,100,35.940
1715670598.177646,1973722.000,60649,1,TH,1,100,35.940
1715670598.312874,1973851.000,60665,1,TH,1,100,35.959
1715670598.443910,1973976.000,60683,1,TH,1,100,35.959
1715670598.578090,1974104.000,60714,1,TH,1,100,35.963
1715670598.711221,1974231.000,60735,1,TH,1,100,35.963
1715670598.842257,1974356.000,60752,1,TH,1,100,35.975
1715670598.976437,1974484.000,60768,1,TH,1,100,35.975
1715670599.110617,1974612.000,60800,1,TH,1,100,36.060
1715670599.243749,1974739.000,60817,1,TH,1,100,36.060
1715670599.377929,1974867.000,60834,1,TH,1,100,36.009
1715670599.512109,1974995.000,60851,1,TH,1,100,36.009
1715670599.645241,1975122.000,60885,1,TH,1,100,36.019
1715670599.777324,1975248.000,60901,1,TH,1,100,36.026
1715670599.909408,1975374.000,60918,1,TH,1,100,36.005
1715670600.040443,1975499.000,60935,1,TH,1,100,36.005
1715670600.174623,1975627.000,60966,1,TH,1,100,36.113
1715670600.307755,1975754.000,60984,1,TH,1,100,36.106
1715670600.441935,1975882.000,61000,1,TH,1,100,35.972
1715670600.575067,1976009.000,61017,1,TH,1,100,35.972
1715670600.708198,1976136.000,61051,1,TH,1,100,36.000
1715670600.840282,1976262.000,61067,1,TH,1,100,36.000
1715670600.971317,1976387.000,61084,1,TH,1,100,35.931
1715670601.103400,1976513.000,61101,1,TH,1,100,35.938
1715670601.238629,1976642.000,61132,1,TH,1,100,35.959
1715670601.371761,1976769.000,61150,1,TH,1,100,35.959
1715670601.504893,1976896.000,61166,1,TH,1,100,35.986
1715670601.640121,1977025.000,61185,1,TH,1,100,35.979
1715670601.771156,1977150.000,61208,1,TH,1,100,35.972
