LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1715670601.742852,1977123.000,61195,1,TL,1,100,2024-05-14_12-39-56-605988
1715670601.781639,1977160.000,61198,1,TL,1,100,2024-05-14_12-40-01-798115
1715670607.149890,1982281.000,62028,1,TL,1,100,2024-05-14_12-40-01-955691
1715670758.000790,2126184.000,19940,1,TL,1,100,2024-05-14_12-42-32-846719
1715670758.035383,2126217.000,19943,1,TL,1,100,2024-05-14_12-42-38-066749
1715670763.365896,2131302.000,20802,1,TL,1,100,2024-05-14_12-42-38-158578
1715670763.393152,2131328.000,20805,1,TL,1,100,2024-05-14_12-42-43-426548
1715670768.787610,2136474.000,21670,1,TL,1,100,2024-05-14_12-42-43-586018
1715670768.814865,2136500.000,21673,1,TL,1,100,2024-05-14_12-42-48-844277
1715670774.148523,2141588.000,22532,1,TL,1,100,2024-05-14_12-42-48-921974
1715670774.207227,2141644.000,22535,1,TL,1,100,2024-05-14_12-42-54-233730
1715670779.502098,2146695.000,23365,1,TL,1,100,2024-05-14_12-42-54-317539
1715670779.549271,2146740.000,23368,1,TL,1,100,2024-05-14_12-42-59-569615
1715670784.881881,2151827.000,24230,1,TL,1,100,2024-05-14_12-42-59-659320
1715670784.974129,2151915.000,24233,1,TL,1,100,2024-05-14_12-43-04-990123
1715670790.229166,2156928.000,25074,1,TL,1,100,2024-05-14_12-43-05-088285
1715670790.294160,2156990.000,25077,1,TL,1,100,2024-05-14_12-43-10-311280
1715670795.590080,2162042.000,25922,1,TL,1,100,2024-05-14_12-43-10-413120
1715670795.623625,2162074.000,25925,1,TL,1,100,2024-05-14_12-43-15-640054
1715670800.965669,2167170.000,26786,1,TL,1,100,2024-05-14_12-43-15-737768
1715670801.049531,2167250.000,26789,1,TL,1,100,2024-05-14_12-43-21-057604
1715670806.312954,2172271.000,27629,1,TL,1,100,2024-05-14_12-43-21-147343
1715670806.341258,2172298.000,27632,1,TL,1,100,2024-05-14_12-43-26-361475
1715670811.736764,2177445.000,28474,1,TL,1,100,2024-05-14_12-43-26-457228
1715670811.799661,2177505.000,28477,1,TL,1,100,2024-05-14_12-43-31-818925
1715670817.130174,2182590.000,29339,1,TL,1,100,2024-05-14_12-43-31-918634
1715670817.158478,2182617.000,29342,1,TL,1,100,2024-05-14_12-43-37-176573
1715670822.507860,2187720.000,30201,1,TL,1,100,2024-05-14_12-43-37-250284
1715670822.547695,2187758.000,30204,1,TL,1,100,2024-05-14_12-43-42-570154
1715670827.865628,2192831.000,31065,1,TL,1,100,2024-05-14_12-43-42-645990
1715670827.893932,2192858.000,31068,1,TL,1,100,2024-05-14_12-43-47-920242
1715670833.247508,2197965.000,31927,1,TL,1,100,2024-05-14_12-43-47-985941
1715670833.316694,2198031.000,31930,1,TL,1,100,2024-05-14_12-43-53-327315
1715670838.669221,2203137.000,32780,1,TL,1,100,2024-05-14_12-43-53-455001
1715670838.714297,2203180.000,32783,1,TL,1,100,2024-05-14_12-43-58-745283
1715670844.019651,2208241.000,33612,1,TL,1,100,2024-05-14_12-43-58-948720
1715670844.053196,2208273.000,33615,1,TL,1,100,2024-05-14_12-44-04-084222
1715670849.408868,2213382.000,34458,1,TL,1,100,2024-05-14_12-44-04-275856
1715670849.436124,2213408.000,34461,1,TL,1,100,2024-05-14_12-44-09-469078
1715670854.826389,2218550.000,35309,1,TL,1,100,2024-05-14_12-44-09-706498
1715670860.199882,2223676.000,36155,1,TL,1,100,2024-05-14_12-44-15-035261
1715670860.221895,2223697.000,36157,1,TL,1,100,2024-05-14_12-44-15-089126
1715670860.316241,2223787.000,36160,1,TL,1,100,2024-05-14_12-44-20-353317
1715670865.604823,2228832.000,37006,1,TL,1,100,2024-05-14_12-44-20-482862
1715670865.629981,2228856.000,37009,1,TL,1,100,2024-05-14_12-44-25-665035
1715670871.023391,2234001.000,37840,1,TL,1,100,2024-05-14_12-44-25-880862
1715670871.052743,2234029.000,37843,1,TL,1,100,2024-05-14_12-44-31-085033
1715670876.419946,2239149.000,38689,1,TL,1,100,2024-05-14_12-44-31-308489
1715670876.448250,2239176.000,38692,1,TL,1,100,2024-05-14_12-44-36-482561
1715670881.829080,2244309.000,39538,1,TL,1,100,2024-05-14_12-44-36-662141
1715670881.864722,2244343.000,39541,1,TL,1,100,2024-05-14_12-44-41-899126
1715670887.182656,2249416.000,40383,1,TL,1,100,2024-05-14_12-44-42-062590
1715670887.256035,2249486.000,40386,1,TL,1,100,2024-05-14_12-44-47-284625
1715670892.584452,2254569.000,41233,1,TL,1,100,2024-05-14_12-44-47-412294
1715670892.626383,2254609.000,41236,1,TL,1,100,2024-05-14_12-44-52-640454
1715670897.950607,2259688.000,42084,1,TL,1,100,2024-05-14_12-44-52-919722
1715670898.016648,2259751.000,42087,1,TL,1,100,2024-05-14_12-44-58-039985
1715670903.305230,2264796.000,42918,1,TL,1,100,2024-05-14_12-44-58-237426
1715670903.337727,2264827.000,42921,1,TL,1,100,2024-05-14_12-45-03-359712
1715670908.658805,2269903.000,43767,1,TL,1,100,2024-05-14_12-45-03-531271
1715670908.689206,2269932.000,43770,1,TL,1,100,2024-05-14_12-45-08-709553
1715670919.419418,2280168.000,45461,1,TL,1,100,2024-05-14_12-45-14-258719
1715670919.452963,2280200.000,45464,1,TL,1,100,2024-05-14_12-45-19-464799
1715670924.766704,2285269.000,46292,1,TL,1,100,2024-05-14_12-45-19-744064
1715670924.844277,2285343.000,46295,1,TL,1,100,2024-05-14_12-45-24-862203
1715670930.173742,2290427.000,47140,1,TL,1,100,2024-05-14_12-45-24-975940
1715670930.204142,2290456.000,47143,1,TL,1,100,2024-05-14_12-45-30-218054
1715670935.548283,2295554.000,47968,1,TL,1,100,2024-05-14_12-45-35-561771
1715670940.912341,2300671.000,48819,1,TL,1,100,2024-05-14_12-45-35-745159
1715670940.942741,2300700.000,48822,1,TL,1,100,2024-05-14_12-45-40-951231
