LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
1715670753.151438,2121558,19165,4,TX,1,100,486187.4005106,2231511.7144089,
1715670754.234313,2122591,19337,4,TX,1,100,486187.9338478,2231512.2477461,
1715670754.370590,2122721,19357,4,TX,1,100,486188.6671637,2231512.9810620,
1715670754.997462,2123319,19461,4,TX,1,100,486189.1844892,2231513.4983596,
1715670755.783674,2124069,19580,4,TX,1,100,486189.9838353,2231514.2977057,
1715670756.308863,2124570,19667,4,TX,1,100,486190.5672513,2231514.8811218,
1715670756.942025,2125174,19769,4,TX,1,100,486191.2345651,2231515.5484266,
1715670757.557367,2125761,19872,4,TX,1,100,486191.8172100,2231516.1310715,
1715670758.342530,2126510,19996,4,TX,1,100,486192.5672490,2231516.8811105,
1715670759.294369,2127418,20151,4,TX,1,100,486193.1007042,2231517.4145213,
1715670759.606757,2127716,20204,4,TX,1,100,486193.8340441,2231518.1478612,
1715670760.152912,2128237,20289,4,TX,1,100,486194.4006685,2231518.7144856,
1715670761.256753,2129290,20459,4,TX,1,100,486195.1505229,2231519.4643540,
1715670761.549224,2129569,20512,4,TX,1,100,486195.7505961,2231520.0644272,
1715670762.086992,2130082,20597,4,TX,1,100,486196.3673127,2231520.6811438,
1715670762.634195,2130604,20685,4,TX,1,100,486196.9007676,2231521.2145987,
1715670763.408876,2131343,20808,4,TX,1,100,486197.6178544,2231521.9316935,
1715670763.926727,2131837,20897,4,TX,1,100,486198.1507042,2231522.4645432,
1715670764.679393,2132555,21016,4,TX,1,100,486198.9173089,2231523.2311480,
1715670765.196196,2133048,21103,4,TX,1,100,486199.4507113,2231523.7645187,
1715670765.954104,2133771,21222,4,TX,1,100,486200.2172401,2231524.5310475,
1715670766.524369,2134315,21307,4,TX,1,100,486200.8007073,2231525.1145147,
1715670767.263408,2135020,21428,4,TX,1,100,486201.5172413,2231525.8310617,
1715670767.888184,2135616,21530,4,TX,1,100,486202.0507048,2231526.3645252,
1715670768.676492,2136368,21653,4,TX,1,100,486202.8507697,2231527.1645900,
1715670769.237323,2136903,21744,4,TX,1,100,486203.3840318,2231527.6978543,
1715670769.873630,2137510,21846,4,TX,1,100,486204.1339707,2231528.4477933,
1715670770.408253,2138020,21932,4,TX,1,100,486204.6507481,2231528.9645706,
1715670771.139954,2138718,22049,4,TX,1,100,486205.4172923,2231529.7310683,
1715670771.793034,2139341,22153,4,TX,1,100,486205.9340380,2231530.2478140,
1715670772.342333,2139865,22239,4,TX,1,100,486206.6173464,2231530.9311224,
1715670772.886392,2140384,22326,4,TX,1,100,486207.1674304,2231531.4812629,
1715670773.712438,2141172,22465,4,TX,1,100,486207.9840368,2231532.2978693,
1715670774.346648,2141777,22555,4,TX,1,100,486208.5340376,2231532.8478701,
1715670775.341468,2142726,22710,4,TX,1,100,486209.2173543,2231533.5311218,
1715670775.876091,2143236,22797,4,TX,1,100,486209.7840722,2231534.0978397,
1715670776.284921,2143626,22851,4,TX,1,100,486210.5009902,2231534.8147577,
1715670777.655026,2144933,23068,4,TX,1,100,486211.8341917,2231536.1479547,
1715670778.079580,2145338,23139,4,TX,1,100,486212.3677918,2231536.6815548,
1715670778.746287,2145974,23243,4,TX,1,100,486213.0174553,2231537.3312011,
1715670779.366870,2146566,23346,4,TX,1,100,486213.6174632,2231537.9312090,
1715670780.082846,2147249,23453,4,TX,1,100,486214.3674189,2231538.6811647,
1715670780.811402,2147944,23574,4,TX,1,100,486214.9675254,2231539.2813263,
1715670781.485447,2148587,23678,4,TX,1,100,486215.6841112,2231539.9979121,
1715670782.006444,2149084,23763,4,TX,1,100,486216.2341951,2231540.5479960,
1715670782.632268,2149681,23867,4,TX,1,100,486216.8841373,2231541.1979382,
1715670783.163747,2150188,23953,4,TX,1,100,486217.4007870,2231541.7145340,
1715670783.949958,2150938,24074,4,TX,1,100,486218.1841708,2231542.4979178,
1715670784.451037,2151416,24158,4,TX,1,100,486218.7341617,2231543.0479087,
1715670785.185882,2152117,24270,4,TX,1,100,486219.4516984,2231543.7654671,
1715670785.819045,2152721,24374,4,TX,1,100,486220.0341997,2231544.3479684,
1715670786.557035,2153425,24490,4,TX,1,100,486220.7346342,2231545.0484029,
1715670787.863194,2154671,24695,4,TX,1,100,486222.0508978,2231546.3646176,
1715670789.351754,2156091,24931,4,TX,1,100,486222.6175145,2231546.9312343,
1715670789.367479,2156106,24934,4,TX,1,100,486223.3508340,2231547.6645378,
1715670789.598100,2156326,24971,4,TX,1,100,486223.8509519,2231548.1646557,
1715670790.445112,2157134,25097,4,TX,1,100,486224.6012696,2231548.9149734,
1715670790.978688,2157643,25184,4,TX,1,100,486225.1843637,2231549.4980673,
1715670791.624429,2158259,25286,4,TX,1,100,486225.8842975,2231550.1980010,
1715670792.248157,2158854,25390,4,TX,1,100,486226.4842534,2231550.7979569,
1715670792.921154,2159496,25493,4,TX,1,100,486227.1842506,2231551.4979659,
1715670794.308031,2160819,25714,4,TX,1,100,486228.5345617,2231552.8482770,
1715670794.962159,2161443,25816,4,TX,1,100,486229.0843719,2231553.3981046,
1715670795.575403,2162028,25920,4,TX,1,100,486229.8174799,2231554.1312126,
