LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL,LC,
1715670753.154583,2121561,19166,4,TX,1,100,2024-05-14_12-42-33-132506,486187.4053698,
1715670754.236410,2122593,19338,4,TX,1,100,2024-05-14_12-42-33-666291,486187.9391549,
1715670754.372686,2122723,19358,4,TX,1,100,2024-05-14_12-42-34-398926,486188.6717902,
1715670754.999559,2123321,19462,4,TX,1,100,2024-05-14_12-42-34-933090,486189.2059541,
1715670755.785770,2124071,19581,4,TX,1,100,2024-05-14_12-42-35-731998,486190.0048618,
1715670756.310959,2124572,19668,4,TX,1,100,2024-05-14_12-42-36-298942,486190.5718057,
1715670756.944122,2125176,19770,4,TX,1,100,2024-05-14_12-42-36-965884,486191.2387480,
1715670757.558415,2125762,19873,4,TX,1,100,2024-05-14_12-42-37-566114,486191.8389783,
1715670758.343578,2126511,19997,4,TX,1,100,2024-05-14_12-42-38-299016,486192.5718802,
1715670759.296466,2127420,20152,4,TX,1,100,2024-05-14_12-42-38-832811,486193.1056753,
1715670759.608854,2127718,20205,4,TX,1,100,2024-05-14_12-42-39-566425,486193.8392896,
1715670760.155009,2128239,20290,4,TX,1,100,2024-05-14_12-42-40-132606,486194.4054699,
1715670761.259898,2129293,20460,4,TX,1,100,2024-05-14_12-42-40-899829,486195.1726933,
1715670761.551320,2129571,20513,4,TX,1,100,2024-05-14_12-42-41-499394,486195.7722583,
1715670762.088041,2130083,20598,4,TX,1,100,2024-05-14_12-42-42-099379,486196.3722436,
1715670762.636292,2130606,20686,4,TX,1,100,2024-05-14_12-42-42-633233,486196.9060971,
1715670763.410972,2131345,20809,4,TX,1,100,2024-05-14_12-42-43-366054,486197.6389184,
1715670763.929872,2131840,20898,4,TX,1,100,2024-05-14_12-42-43-899355,486198.1722191,
1715670764.681490,2132557,21017,4,TX,1,100,2024-05-14_12-42-44-666032,486198.9388960,
1715670765.198293,2133050,21104,4,TX,1,100,2024-05-14_12-42-45-198825,486199.4716892,
1715670765.956201,2133773,21223,4,TX,1,100,2024-05-14_12-42-45-965993,486200.2388572,
1715670766.526466,2134317,21308,4,TX,1,100,2024-05-14_12-42-46-532212,486200.8050761,
1715670767.265505,2135022,21429,4,TX,1,100,2024-05-14_12-42-47-265629,486201.5384929,
1715670767.892377,2135620,21531,4,TX,1,100,2024-05-14_12-42-47-798846,486202.0717103,
1715670768.678588,2136370,21654,4,TX,1,100,2024-05-14_12-42-48-599017,486202.8718812,
1715670769.239419,2136905,21745,4,TX,1,100,2024-05-14_12-42-49-132250,486203.4051143,
1715670769.875726,2137512,21847,4,TX,1,100,2024-05-14_12-42-49-865581,486204.1384453,
1715670770.410350,2138022,21933,4,TX,1,100,2024-05-14_12-42-50-398645,486204.6715091,
