RD,TS_received,TS_sent,AK,RoundTrip,
1977126,1977160,2024-05-14_12-40-01-798115,1977162,34,
1982284,
1987432,
2121049,2126184,2024-05-14_12-42-32-846719,2126192,5135,
2126192,2126217,2024-05-14_12-42-38-066749,2126220,25,
2131305,2131328,2024-05-14_12-42-43-426548,2131331,23,
2136477,2136500,2024-05-14_12-42-48-844277,2136504,23,
2141593,2141644,2024-05-14_12-42-54-233730,2141647,51,
2146700,2146740,2024-05-14_12-42-59-569615,2146743,40,
2151832,2151915,2024-05-14_12-43-04-990123,2151917,83,
2156933,2156990,2024-05-14_12-43-10-311280,2156993,57,
2162046,2162074,2024-05-14_12-43-15-640054,2162077,28,
2167176,2167250,2024-05-14_12-43-21-057604,2167253,74,
2172274,2172298,2024-05-14_12-43-26-361475,2172301,24,
2177450,2177505,2024-05-14_12-43-31-818925,2177509,55,
2182593,2182617,2024-05-14_12-43-37-176573,2182620,24,
2187725,2187758,2024-05-14_12-43-42-570154,2187761,33,
2192834,2192858,2024-05-14_12-43-47-920242,2192861,24,
2197970,2198031,2024-05-14_12-43-53-327315,2198036,61,
2203142,2203180,2024-05-14_12-43-58-745283,2203183,38,
2208251,2208273,2024-05-14_12-44-04-084222,2208277,22,
2213385,2213408,2024-05-14_12-44-09-469078,2213410,23,
2218555,2223676,2024-05-14_12-44-15-035261,2223684,5121,
2223702,2223787,2024-05-14_12-44-20-353317,2223790,85,
2228834,2228856,2024-05-14_12-44-25-665035,2228859,22,
2234005,2234029,2024-05-14_12-44-31-085033,2234031,24,
2239153,2239176,2024-05-14_12-44-36-482561,2239180,23,
2244312,2244343,2024-05-14_12-44-41-899126,2244347,31,
2249419,2249486,2024-05-14_12-44-47-284625,2249488,67,
2254573,2254609,2024-05-14_12-44-52-640454,2254612,36,
2259694,2259751,2024-05-14_12-44-58-039985,2259754,57,
2264801,2264827,2024-05-14_12-45-03-359712,2264833,26,
2269907,2269932,2024-05-14_12-45-08-709553,2269934,25,
2275042,2280168,2024-05-14_12-45-14-258719,2280171,5126,
2280171,2280200,2024-05-14_12-45-19-464799,2280202,29,
2285273,2285343,2024-05-14_12-45-24-862203,2285346,70,
2290431,2290456,2024-05-14_12-45-30-218054,2290458,25,
2295532,2295554,2024-05-14_12-45-35-561771,2295557,22,
2300674,2300700,2024-05-14_12-45-40-951231,2300703,26,
2305790,2305815,2024-05-14_12-45-46-313036,2305818,25,
2310910,2316011,2024-05-14_12-45-51-798374,2316018,5101,
2316034,2316123,2024-05-14_12-45-57-111536,2316127,89,
2321158,2321212,2024-05-14_12-46-02-449347,2321214,54,
2326304,2326388,2024-05-14_12-46-07-872855,2326391,84,
2331422,2331444,2024-05-14_12-46-13-172582,2331447,22,
2336735,2336758,2024-05-14_12-46-18-739560,2336761,23,
2341875,2341897,2024-05-14_12-46-24-129038,2341899,22,
2346986,2347111,2024-05-14_12-46-29-481237,2352104,125,
2352105,2352130,2024-05-14_12-46-34-851046,2352133,25,
2357221,2357242,2024-05-14_12-46-40-209243,2357244,21,
2362357,2362377,2024-05-14_12-46-45-587619,2362380,20,
2367659,2367726,2024-05-14_12-46-51-190640,2367728,67,
2372797,2372822,2024-05-14_12-46-56-530364,2372825,25,
2377922,2383047,2024-05-14_12-47-02-077518,2383049,5125,
2383050,2383074,2024-05-14_12-47-07-276648,2383076,24,
2388167,2388188,2024-05-14_12-47-12-640374,2388192,21,
2393291,2398393,2024-05-14_12-47-18-224426,2398396,5102,
2398396,2398419,2024-05-14_12-47-23-360682,2398421,23,
2403504,2403527,2024-05-14_12-47-28-713385,2403529,23,
2408624,2408670,2024-05-14_12-47-34-097002,2408672,46,
2413717,2413747,2024-05-14_12-47-39-429207,2413749,30,
2418869,2418893,2024-05-14_12-47-44-826780,2418895,24,
2423992,2424016,2024-05-14_12-47-50-197435,2424019,24,
2429110,2429140,2024-05-14_12-47-55-565083,2429143,30,
2434245,2434270,2024-05-14_12-48-00-951572,2434272,25,
2439396,2444575,2024-05-14_12-48-06-351249,2444584,5179,
2444596,2444618,2024-05-14_12-48-11-803552,2444622,22,
2449690,2449713,2024-05-14_12-48-17-145383,2449716,23,
2454798,2454825,2024-05-14_12-48-22-501082,2454828,27,
2459911,2459945,2024-05-14_12-48-27-858644,2459950,34,
2465019,2465042,2024-05-14_12-48-33-216177,2465045,23,
2470143,2470165,2024-05-14_12-48-38-585833,2470169,22,
2475290,2475373,2024-05-14_12-48-44-041540,2475377,83,
2480405,
2485517,2485539,2024-05-14_12-48-54-699138,2485542,22,
2490645,2490706,2024-05-14_12-49-00-108549,2490711,61,
2495757,2495780,2024-05-14_12-49-05-429713,2495783,23,
2500864,2500886,2024-05-14_12-49-10-779394,2500888,22,
2505978,2506048,2024-05-14_12-49-16-184417,2506051,70,
2511121,2511148,2024-05-14_12-49-21-532130,2511151,27,
2516293,2516323,2024-05-14_12-49-26-951759,2516326,30,
2521444,2521468,2024-05-14_12-49-32-349227,2521471,24,
2526560,
2531710,2536833,2024-05-14_12-49-43-327418,2536839,5123,
2536839,2541941,2024-05-14_12-49-48-541481,2541957,5102,
2541972,2542001,2024-05-14_12-49-53-881237,2542005,29,
2547061,2547086,2024-05-14_12-49-59-206972,2547089,25,
2552165,2552193,2024-05-14_12-50-04-560663,2552196,28,
2557281,2557324,2024-05-14_12-50-09-948607,2557328,43,
2562433,2562457,2024-05-14_12-50-15-332135,2562459,24,
2567589,2567614,2024-05-14_12-50-20-741473,2567617,25,
2572706,2572752,2024-05-14_12-50-26-128548,2572754,46,
2577875,2577930,2024-05-14_12-50-31-557288,2577933,55,
2583005,2583030,2024-05-14_12-50-36-905011,2583033,25,
2588115,2588187,2024-05-14_12-50-42-304710,2588190,72,
2593231,2598375,2024-05-14_12-50-47-833048,2598380,5144,
2598381,2603553,2024-05-14_12-50-53-160795,2603568,5172,
2603588,2603614,2024-05-14_12-50-58-478678,2603617,26,
2608656,2608696,2024-05-14_12-51-03-808461,2608699,40,
2613806,2613839,2024-05-14_12-51-09-192065,2613842,33,
2618978,2619057,2024-05-14_12-51-14-667176,2619059,79,
2624075,2624097,2024-05-14_12-51-19-949440,2624100,22,
2629214,2629234,2024-05-14_12-51-25-331046,2629237,20,
2634377,2634402,2024-05-14_12-51-30-744777,2634404,25,
2639465,2639492,2024-05-14_12-51-36-080626,2639494,27,
2644612,2644651,2024-05-14_12-51-41-490174,2644653,39,
2649732,2649756,2024-05-14_12-51-46-840900,2649759,24,
2654824,2654849,2024-05-14_12-51-52-180596,2654852,25,
2659977,2660000,2024-05-14_12-51-57-582290,2660002,23,
2665085,2665111,2024-05-14_12-52-02-940496,2665114,26,
2670207,2670232,2024-05-14_12-52-08-304162,2670235,25,
2675316,2675345,2024-05-14_12-52-13-663976,2675349,29,
2680449,2680473,2024-05-14_12-52-19-046327,2680477,24,
2685557,2690664,2024-05-14_12-52-24-603599,2690666,5107,
2690666,2690688,2024-05-14_12-52-29-751272,2690696,22,
2695890,2695942,2024-05-14_12-52-35-254540,2695945,52,
2701068,2701092,2024-05-14_12-52-40-652142,2701095,24,
2706184,2706208,2024-05-14_12-52-46-013917,2706212,24,
2711340,2711372,2024-05-14_12-52-51-418498,2711375,32,
2716496,2716557,2024-05-14_12-52-56-862930,2716559,61,
2721624,2721648,2024-05-14_12-53-02-197044,2721651,24,
2726751,2726773,2024-05-14_12-53-07-572519,2726775,22,
2731985,2732010,2024-05-14_12-53-13-059979,2732013,25,
2737110,2737170,2024-05-14_12-53-18-463409,2737175,60,
2742219,2742241,2024-05-14_12-53-23-795163,2742244,22,
2747388,2752529,2024-05-14_12-53-29-426084,2752534,5141,
2752534,2752585,2024-05-14_12-53-34-637994,2752589,51,
2757675,2757696,2024-05-14_12-53-39-993683,2757700,21,
2762785,2762853,2024-05-14_12-53-45-395245,2762855,68,
2767910,2767932,2024-05-14_12-53-50-723047,2767934,22,
2773017,2773038,2024-05-14_12-53-56-072704,2773041,21,
2778157,2778195,2024-05-14_12-54-01-475346,2778198,38,
2783243,2783264,2024-05-14_12-54-06-794082,2783268,21,
2788362,2788386,2024-05-14_12-54-12-166561,2788389,24,
2793494,2793522,2024-05-14_12-54-17-549034,2793525,28,
2798611,2798634,2024-05-14_12-54-22-914822,2798637,23,
2803707,2803728,2024-05-14_12-54-28-260026,2803737,21,
2808825,2808849,2024-05-14_12-54-33-628558,2808853,24,
2813934,2813958,2024-05-14_12-54-38-986533,2813961,24,
2819060,2819098,2024-05-14_12-54-44-380142,2819101,38,
2824198,2824273,2024-05-14_12-54-49-807618,2824275,75,
2829306,2829349,2024-05-14_12-54-55-133282,2829351,43,
2834424,2834448,2024-05-14_12-55-00-476746,2834451,24,
2839525,2839550,2024-05-14_12-55-05-825616,2839553,25,
2844665,2844689,2024-05-14_12-55-11-215188,2844691,24,
2849777,2849806,2024-05-14_12-55-16-573040,2849808,29,
2854896,2854944,2024-05-14_12-55-21-964746,2854947,48,
2860020,2860041,2024-05-14_12-55-27-314326,2860044,21,
2865145,2865169,2024-05-14_12-55-32-686129,2865172,24,
2870255,2870281,2024-05-14_12-55-38-043802,2870284,26,
2875363,2875386,2024-05-14_12-55-43-395378,2875388,23,
2880495,2880532,2024-05-14_12-55-48-791331,2880534,37,
2885595,2885620,2024-05-14_12-55-54-124082,2885622,25,
2890782,2890801,2024-05-14_12-55-59-554437,2890804,19,
2895925,2895949,2024-05-14_12-56-04-948688,2895953,24,
2901051,2901074,2024-05-14_12-56-10-322140,2901077,23,
2906169,2906191,2024-05-14_12-56-15-683824,2906194,22,
2911338,2911408,2024-05-14_12-56-21-150435,2911412,70,
2916450,2916484,2024-05-14_12-56-26-470238,2916487,34,
2921621,2921669,2024-05-14_12-56-31-901721,2921671,48,
2926736,2926758,2024-05-14_12-56-37-235338,2926761,22,
2931947,2932024,2024-05-14_12-56-42-752643,2932027,77,
2937056,2937110,2024-05-14_12-56-48-084520,2937112,54,
2942168,2942191,2024-05-14_12-56-53-415171,2942195,23,
2947314,2947337,2024-05-14_12-56-58-806472,2947341,23,
2952421,2952444,2024-05-14_12-57-04-156245,2952447,23,
2957543,2957624,2024-05-14_12-57-09-579874,2957626,81,
2962668,2962702,2024-05-14_12-57-14-905201,2962705,34,
2967791,2967819,2024-05-14_12-57-20-270631,2967822,28,
2972937,
2978038,2978063,2024-05-14_12-57-31-000876,2978066,25,
2983157,2983179,2024-05-14_12-57-36-362424,2983181,22,
2988265,2988291,2024-05-14_12-57-41-721133,2988294,26,
2993399,2993422,2024-05-14_12-57-47-103598,2993425,23,
2998518,2998541,2024-05-14_12-57-52-468565,2998543,23,
3003665,3003695,2024-05-14_12-57-57-862135,3003698,30,
3008820,3008910,2024-05-14_12-58-03-335522,3008914,90,
3013984,3019201,2024-05-14_12-58-08-681211,3019216,5217,
3019238,3019274,2024-05-14_12-58-14-202479,3019277,36,
3024322,3024346,2024-05-14_12-58-19-524118,3024349,24,
3029466,3034637,2024-05-14_12-58-25-087386,3034641,5171,
3034641,3034702,2024-05-14_12-58-30-374028,3034705,61,
3039817,3044927,2024-05-14_12-58-35-767288,3044936,5110,
3044947,3044972,2024-05-14_12-58-41-151100,3044976,25,
3050058,3050127,2024-05-14_12-58-46-556720,3050130,69,
3055168,3055203,2024-05-14_12-58-51-880491,3055205,35,
3060382,3060405,2024-05-14_12-58-57-329927,3060408,23,
3065516,3065538,2024-05-14_12-59-02-707553,3065540,22,
3070755,3070831,2024-05-14_12-59-08-256715,3070833,76,
3075913,3075936,2024-05-14_12-59-13-608294,3075938,23,
3081065,3086233,2024-05-14_12-59-19-221415,3086238,5168,
3086238,3086274,2024-05-14_12-59-24-445469,3086277,36,
3091347,3091372,2024-05-14_12-59-29-791072,3091374,25,
3096503,3101670,2024-05-14_12-59-35-615621,3101675,5167,
3101676,3101717,2024-05-14_12-59-40-619261,3101719,41,
3106785,3106806,2024-05-14_12-59-45-958849,3106810,21,
3111907,3111929,2024-05-14_12-59-51-328621,3111931,22,
3117072,3117096,2024-05-14_12-59-56-748230,3117098,24,
3122168,3122220,2024-05-14_13-00-02-119692,3122222,52,
3127349,3127403,2024-05-14_13-00-07-555033,3127405,54,
3132448,3132473,2024-05-14_13-00-12-870368,3132475,25,
3137555,3137578,2024-05-14_13-00-18-225935,3137580,23,
3142674,3142738,2024-05-14_13-00-23-629545,3142744,64,
3147828,3147903,2024-05-14_13-00-29-057509,3147907,75,
3152926,3152958,2024-05-14_13-00-34-349244,3152962,32,
3158083,3158107,2024-05-14_13-00-39-750504,3158109,24,
3163226,
3168350,3173526,2024-05-14_13-00-50-688567,3173528,5176,
3173528,3173553,2024-05-14_13-00-55-938515,3173555,25,
3178645,3178689,2024-05-14_13-01-01-319201,3178692,44,
3183745,0,,3188849,-3183745,
3188868,3188931,2024-05-14_13-01-12-062971,3188936,63,
3193970,3194047,2024-05-14_13-01-17-421996,3194050,77,
3199070,3204172,2024-05-14_13-01-22-930588,3204175,5102,
3204175,3204199,2024-05-14_13-01-28-070862,3204201,24,
3209286,3209345,2024-05-14_13-01-33-464413,3209347,59,
3214447,3214529,2024-05-14_13-01-38-895388,3214531,82,
3219554,3219597,2024-05-14_13-01-44-220827,3219601,43,
3224654,3224680,2024-05-14_13-01-49-554588,3224682,26,
3229762,3229784,2024-05-14_13-01-54-906298,3229787,22,
3234887,3234910,2024-05-14_13-02-00-275849,3234913,23,
3240002,3240029,2024-05-14_13-02-05-641518,3240031,27,
3245111,3245183,2024-05-14_13-02-11-045146,3245186,72,
3250230,3250275,2024-05-14_13-02-16-376755,3250277,45,
3255353,3255376,2024-05-14_13-02-21-727461,3255378,23,
3260470,3260532,2024-05-14_13-02-27-121014,3260534,62,
3265574,3265597,2024-05-14_13-02-32-434934,3265599,23,
3270773,3270800,2024-05-14_13-02-37-888239,3270803,27,
3275907,3275931,2024-05-14_13-02-43-264021,3275933,24,
3281022,3281055,2024-05-14_13-02-48-633635,3281058,33,
3286122,3286146,2024-05-14_13-02-53-965387,3286148,24,
3291239,3291319,2024-05-14_13-02-59-387892,3291321,80,
3296348,3296400,2024-05-14_13-03-04-709647,3296403,52,
3301446,3301468,2024-05-14_13-03-10-029450,3301471,22,
3306559,3306647,2024-05-14_13-03-15-457958,3306650,88,
3311672,3311736,2024-05-14_13-03-20-784412,3311739,64,
3316760,3321876,2024-05-14_13-03-26-307539,3321879,5116,
3321879,3321905,2024-05-14_13-03-31-447410,3321914,26,
3326987,3327010,2024-05-14_13-03-36-797161,3327019,23,
3332118,3332157,2024-05-14_13-03-42-190678,3332160,39,
3337221,3337244,2024-05-14_13-03-47-516402,3337248,23,
3342341,3342365,2024-05-14_13-03-52-877756,3342367,24,
3347443,3347465,2024-05-14_13-03-58-225613,3347468,22,
3352560,3357698,2024-05-14_13-04-03-589267,3357701,5138,
3357701,3357725,2024-05-14_13-04-08-978710,3357728,24,
3362861,3362939,2024-05-14_13-04-14-440656,3362941,78,
3367968,3368017,2024-05-14_13-04-19-762299,3368020,49,
3373112,3373136,2024-05-14_13-04-25-130074,3373138,24,
3378229,3378281,2024-05-14_13-04-30-521172,3378285,52,
3383341,3383369,2024-05-14_13-04-35-847999,3383371,28,
3388447,3388471,2024-05-14_13-04-41-201842,3388474,24,
3393554,3393584,2024-05-14_13-04-46-559365,3393586,30,
3398672,3403806,2024-05-14_13-04-52-126404,3403810,5134,
3403810,3403835,2024-05-14_13-04-57-304418,3403837,25,
3408988,3409016,2024-05-14_13-05-02-741401,3409019,28,
3414101,3414126,2024-05-14_13-05-08-099069,3414130,25,
3419225,3419305,2024-05-14_13-05-13-526932,3419308,80,
3424382,3424403,2024-05-14_13-05-18-872630,3424406,21,
3429475,3429497,2024-05-14_13-05-24-210000,3429505,22,
3434576,3434599,2024-05-14_13-05-29-557714,3434601,23,
3439703,0,,3444811,-3439703,
3444812,3444832,2024-05-14_13-05-40-287098,3444834,20,
