,,AF3,AF4,AF7,AF8,AFz,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPz,Cz,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FCz,FT10,FT7,FT8,FT9,Fp1,Fp2,Fz,O1,O2,Oz,P1,P2,P3,P4,P5,P6,P7,P8,PO3,PO4,PO7,PO8,POz,Pz,T7,T8,TP10,TP7,TP8,TP9,mean
BN,sd011,0.201171875,0.19921875,0.19921875,0.19921875,0.19921875,0.201171875,0.1953125,0.201171875,0.1953125,0.197265625,0.2734375,0.201171875,0.19921875,0.203125,0.197265625,0.201171875,0.279296875,0.197265625,0.19921875,0.19921875,0.19921875,0.19921875,0.19921875,0.201171875,0.1953125,0.263671875,0.287109375,0.201171875,0.19921875,0.201171875,0.197265625,0.212890625,0.197265625,0.197265625,0.228515625,0.19921875,0.19921875,,0.197265625,0.19921875,0.19921875,,0.197265625,0.283203125,0.19921875,0.279296875,0.19921875,0.197265625,0.197265625,0.27734375,,0.267578125,,0.197265625,0.197265625,0.19921875,0.201171875,0.197265625,0.19921875,0.265625,0.244140625,0.205078125,0.1953125,0.21484375,0.19921875
BN,sd012,0.240234375,0.240234375,0.240234375,0.236328125,0.240234375,0.23828125,0.244140625,0.236328125,0.240234375,0.23828125,0.21875,0.236328125,0.244140625,0.23828125,0.2421875,0.236328125,0.24609375,0.248046875,0.2421875,0.23828125,0.240234375,0.23828125,0.23828125,0.240234375,0.236328125,0.23828125,0.232421875,0.240234375,0.240234375,0.23828125,0.2421875,0.236328125,0.236328125,0.236328125,0.23828125,0.23828125,0.240234375,0.232421875,0.2421875,0.240234375,0.23828125,0.23828125,0.15625,0.15234375,0.23828125,0.240234375,0.240234375,0.244140625,0.240234375,0.15234375,0.23828125,0.1484375,0.236328125,0.24609375,0.240234375,0.244140625,0.240234375,0.2421875,0.234375,0.23828125,0.263671875,0.236328125,0.24609375,0.1953125,0.23828125
BN,sd013,0.232421875,0.2421875,0.234375,0.189453125,0.23828125,0.236328125,0.23828125,0.23828125,0.24609375,0.240234375,0.28125,0.193359375,0.283203125,0.13671875,0.244140625,0.19140625,0.279296875,0.236328125,0.23828125,0.234375,0.240234375,0.234375,0.24609375,0.234375,0.24609375,0.234375,,0.23828125,0.240234375,0.236328125,0.240234375,0.23828125,,0.236328125,,0.23046875,0.283203125,0.2265625,0.232421875,0.2421875,0.23828125,0.1875,0.28125,0.16015625,0.1875,0.283203125,0.1875,0.279296875,0.189453125,0.283203125,0.1875,0.28125,0.185546875,0.27734375,0.189453125,0.271484375,0.16015625,0.23828125,0.19140625,0.28125,0.263671875,0.19140625,0.267578125,0.1953125,0.23828125
BN,sd015,0.234375,0.232421875,0.19140625,,0.24609375,0.248046875,0.189453125,0.251953125,0.248046875,0.251953125,0.185546875,0.240234375,0.25,0.20703125,0.19140625,0.20703125,0.1875,0.26171875,0.248046875,0.240234375,,0.24609375,0.23046875,0.24609375,,0.248046875,,0.251953125,0.25,0.244140625,0.251953125,0.24609375,0.224609375,0.251953125,,0.248046875,,0.234375,0.251953125,0.251953125,0.2421875,0.2578125,0.115234375,0.2578125,0.2578125,0.26171875,0.2578125,0.259765625,0.2578125,0.265625,0.255859375,0.1171875,0.2578125,0.255859375,0.208984375,0.2578125,0.2578125,0.263671875,0.205078125,0.185546875,0.1171875,0.193359375,0.25390625,0.21484375,0.251953125
BN,sd016,0.234375,0.234375,0.2265625,0.232421875,0.232421875,0.232421875,0.232421875,0.234375,0.216796875,0.2421875,0.216796875,0.220703125,0.2109375,0.224609375,0.2109375,0.22265625,0.208984375,0.2109375,0.22265625,0.23828125,0.234375,0.232421875,0.234375,0.234375,0.234375,0.228515625,0.232421875,0.234375,0.234375,0.236328125,0.232421875,0.234375,0.234375,0.232421875,0.259765625,0.2265625,0.255859375,0.234375,0.232421875,0.232421875,0.234375,0.216796875,0.162109375,0.162109375,0.212890625,0.20703125,0.212890625,0.205078125,0.2109375,0.203125,0.197265625,0.271484375,0.208984375,0.203125,0.18359375,0.162109375,0.208984375,0.208984375,0.2265625,0.259765625,0.296875,0.21484375,0.275390625,0.220703125,0.232421875
BN,sd017,0.2265625,0.2265625,0.2265625,0.234375,0.2265625,0.224609375,0.23046875,0.22265625,0.2265625,0.21875,0.2421875,0.212890625,0.21875,0.185546875,0.212890625,0.248046875,0.25,0.21484375,0.21875,0.224609375,0.228515625,0.22265625,0.228515625,0.22265625,0.236328125,0.2265625,0.228515625,0.22265625,0.224609375,0.2265625,0.22265625,0.224609375,0.23046875,0.240234375,0.232421875,0.2265625,0.228515625,0.22265625,0.23046875,0.232421875,0.224609375,0.173828125,0.25,0.17578125,0.21484375,0.25,0.20703125,0.220703125,0.2109375,0.251953125,0.177734375,0.25,0.171875,0.21484375,0.177734375,0.216796875,0.208984375,0.212890625,0.248046875,0.2421875,0.150390625,0.228515625,0.220703125,0.263671875,0.2265625
BN,sd018,0.21875,0.21875,0.1953125,0.212890625,0.22265625,0.22265625,0.23046875,0.224609375,0.22265625,0.208984375,0.224609375,0.224609375,0.224609375,0.193359375,0.224609375,0.2265625,0.234375,0.228515625,0.22265625,0.220703125,0.224609375,0.216796875,0.21875,0.2265625,0.275390625,0.19921875,0.224609375,0.224609375,0.220703125,0.22265625,0.220703125,0.224609375,0.22265625,0.1953125,0.287109375,0.22265625,0.21875,0.203125,0.19140625,0.23046875,0.220703125,0.228515625,0.1015625,0.228515625,0.2265625,0.232421875,0.224609375,0.228515625,0.224609375,0.103515625,0.224609375,0.265625,0.22265625,0.2265625,0.224609375,0.23046875,0.2265625,0.2265625,0.1953125,0.267578125,0.26953125,0.228515625,0.2265625,0.2109375,0.224609375
BN,sd019,0.212890625,0.21484375,0.197265625,0.212890625,0.21484375,0.21484375,0.2109375,0.201171875,0.2109375,0.212890625,0.267578125,0.203125,0.20703125,0.1640625,0.208984375,0.1953125,0.19921875,0.201171875,0.212890625,0.216796875,0.21484375,0.21484375,0.21484375,0.208984375,0.19921875,0.201171875,0.20703125,0.216796875,0.21484375,0.21484375,0.2109375,0.201171875,0.2109375,0.212890625,0.203125,0.19921875,0.212890625,0.19921875,0.19921875,0.2109375,0.216796875,0.158203125,0.158203125,0.158203125,0.197265625,0.158203125,0.158203125,0.203125,0.19921875,0.158203125,0.16015625,0.158203125,0.15625,0.158203125,0.16015625,0.158203125,0.158203125,0.201171875,0.201171875,0.205078125,0.234375,0.1953125,0.205078125,0.130859375,0.2109375
BN,sd020,0.248046875,0.24609375,0.248046875,0.248046875,0.24609375,0.224609375,0.275390625,0.248046875,0.248046875,0.248046875,0.19140625,0.283203125,0.248046875,0.24609375,0.248046875,0.24609375,0.25,0.28125,0.24609375,0.24609375,0.24609375,0.248046875,0.244140625,0.248046875,0.2734375,0.248046875,0.251953125,0.24609375,0.24609375,0.248046875,0.244140625,0.248046875,0.248046875,0.244140625,0.2734375,0.24609375,0.248046875,0.24609375,0.25,0.248046875,0.24609375,0.283203125,0.279296875,0.283203125,0.248046875,0.27734375,0.279296875,0.279296875,0.279296875,0.189453125,0.244140625,0.189453125,0.15625,0.28125,0.244140625,0.279296875,0.28125,0.28125,0.24609375,0.271484375,0.138671875,0.248046875,0.248046875,0.24609375,0.248046875
BN,sd025,0.220703125,0.21875,0.21875,0.216796875,0.220703125,0.21875,0.216796875,0.216796875,0.216796875,0.216796875,0.119140625,0.216796875,0.21484375,0.216796875,0.21484375,0.21484375,0.216796875,0.21484375,0.216796875,0.220703125,0.220703125,0.220703125,0.21875,0.220703125,0.21875,0.220703125,0.216796875,0.21875,0.21875,0.21875,0.216796875,0.21875,0.216796875,0.216796875,0.21875,0.212890625,0.216796875,0.21875,0.220703125,0.21875,0.220703125,0.208984375,0.162109375,0.2109375,0.21484375,0.2109375,0.212890625,0.21484375,0.212890625,0.16015625,0.205078125,0.1796875,0.20703125,0.212890625,0.212890625,0.212890625,0.2109375,0.21484375,0.220703125,0.24609375,0.2578125,0.216796875,0.21484375,0.205078125,0.21875
